slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen,verificacion,Venta online,Canal de venta,categorias adicionales,producer_id,descripcion_locale
ferme-claria,Ferme Claria,Arthez-d'Asson,Carne,,"60 Route du Soulor, 64800 Arthez-d'Asson",,,,,https://fromages-claria.fr,,,https://www.google.com/maps/search/?api=1&query=43.085900%2C-0.255702&query_place_id=ChIJlZ7M73DJVw0RazgBBv9LVFM,43.085900,-0.255702,,pendiente,no comprobado,,,789,
pas-daspe,Pas d'Aspe,Gurmençon,Lácteos y quesos,,"26 Route d’Agnos, 64400 Gurmençon",,,,,https://lafermedelaportedaspe.wordpress.com/,,,https://www.google.com/maps/search/?api=1&query=43.154737%2C-0.597227&query_place_id=ChIJXaX4tQoAVw0RTmFJbf32T68,43.154737,-0.597227,,pendiente,no comprobado,,,1620,
earl-mendixka,EARL Mendixka,Irouléguy,Carne,,"Agerria, 64220 Irouléguy",,,,,https://www.visite-irouleguy.com,,,,43.177028,-1.2987309999999999,,pendiente,no comprobado,,,727,
gaec-agerria,GAEC Agerria,Saint-Martin-d'Arberoue,Carne,,"430,donapauleoko Errepidea, 64640 Saint-Martin-d'Arberoue",,,,,https://www.agerria.fr,,,https://www.google.com/maps/search/?api=1&query=43.336413%2C-1.195615&query_place_id=ChIJqeoTEkTNVg0RCXdrkX4djfM,43.336413,-1.195615,,pendiente,no comprobado,,,1074,
les-acacias,Les Acacias,Urt,Carne,,"210 Route de Labastide, 64240 Urt",,,,,https://www.fermelesacacias.fr/,,,https://www.google.com/maps/search/?api=1&query=43.482315%2C-1.284632&query_place_id=ChIJbcI98QNKUQ0RUhmXmsqPypc,43.482315,-1.284632,,pendiente,no comprobado,,,1473,
tomate-o-coeur,Tomate O Cœur,Oloron-Sainte-Marie,Fruta y verdura,Fruits et légumes,"135 MALLARODE, 64400 Oloron-Sainte-Marie","An organic producer in Oloron-Sainte-Marie, offering Fruits et légumes under the Tomate O Cœur identity.",,+33689350114,Contact@tomate-o-coeur.fr,https://Www.tomate-o-coeur.fr,,https://instagram.com/producteurtomateocoeur,https://www.google.com/maps/search/?api=1&query=43.242178%2C-0.56788299&query_place_id=ChIJBzMs7dFVVg0RV_MljYQAjF8,43.242178,-0.56788299,,verificado,no comprobado,,,1726,en
la-truite-d-ossau,La Truite d'Ossau,Louvie-Juzon,Pescado,truites,LIEU DIT PEDEHOURAT 28 VC 8 DITE DE DURIEU 64260 LOUVIE-JUZON,"La Truite d'Ossau is a fish producer in Louvie-Juzon, producing truites.",,+33645521408,,https://truite-ossau.fr/,,,https://www.google.com/maps/search/?api=1&query=43.082348%2C-0.326203&query_place_id=ChIJTZdQodK3Vw0RsYm8WG18Lvg,43.082348,-0.326203,,verificado,no comprobado,,,1391,en
nouste-ekilili,Nouste Ekilili,Gabat,Aceite,huiles vierges de tournesol et de colza,MAISON APATHIA 977 CHEMIN DES FONTAINES 64120 GABAT,"Nouste Ekilili is an artisan oil producer in Gabat, producing huiles vierges de tournesol et de colza.",,,,https://nouste-ekilili.fr/,,,https://www.google.com/maps/search/?api=1&query=43.36307%2C-1.035748&query_place_id=ChIJM9kuegHFVg0R0yBWZu7j7so,43.36307,-1.035748,,verificado,no comprobado,,,1604,en
brasserie-akerbeltz,Brasserie Akerbeltz,Ascain,Cerveza,,,Brewery producing beer at its Ascain unit.,,,,https://akerbeltz.fr/,,,,43.3383,-1.6283,,parcial,no comprobado,,,115,en
brasserie-du-pays-basque,Brasserie du Pays Basque,Bardos,Cerveza,,,Brewery producing beer at its Bardos unit.,,,contact@brasseriedupaysbasque.com,https://brasseriedupaysbasque.com/,,,,43.4738,-1.22,,parcial,no comprobado,,,153,en
truite-de-banka-banca,Truite de Banka,Banca,Pescado,"Trout, Smoked fish, Fish preserves",,Truite de Banka raises trout and produces smoked fish and preserves at its Banca operation.,,+33559374597,contact@truitedebanka.com,https://www.truitedebanka.com/,,,,43.091900,-1.379400,,verificado,sí,ecommerce,,1729,en
maison-jean-de-luz-saint-jean-de-luz,Maison Jean de Luz,Saint-Jean-de-Luz,Pescado,Fish preserves,,Maison Jean de Luz produces fish preserves at its Saint-Jean-de-Luz operation.,,,conserverie@jeandeluz.fr,https://www.jeandeluz.com/,,,,43.393400,-1.633700,,verificado,sí,ecommerce,,1558,en
