slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen,verificacion,Venta online,Canal de venta,categorias adicionales,producer_id
lassus-le-reysse,Lassus le Reysse,Bégadan,Carne,,"1 Rue de Condissas, 33340 Bégadan",,,,,https://vignoblespaeffgen.org,,,https://www.google.com/maps/search/?api=1&query=45.375343%2C-0.882447&query_place_id=ChIJ80uQDtS9AUgRIq2zZ6jiwfk,45.375343,-0.882447,,pendiente,no comprobado,,,1406
pierre-balan,Pierre Balan,Capian,Vino,,"101 Loustalet, 33550 Capian",,,,,https://chateaudefontes.com/,,,https://www.google.com/maps/search/?api=1&query=44.7070745%2C-0.3048474&query_place_id=ChIJQ_OuGzo_VQ0RaJq-Hw4xicc,44.7070745,-0.3048474,,pendiente,no comprobado,,,1632
chateau-magdeleine-bouhou,Château Magdeleine Bouhou,Cars,Vino,Vins,"4 Bouhou, 33390 Cars",An organic winery in Cars producing vins under the Château Magdeleine Bouhou identity.,,,info@magdeleine-bouhou.com,https://www.magdeleine-bouhou.com/,https://www.facebook.com/magdeleinebouhou,https://www.instagram.com/chateau_magdeleine_bouhou,https://www.google.com/maps/search/?api=1&query=45.1331318%2C-0.6372099&query_place_id=ChIJa8jc5ovSAUgRUBjpvAFqEFc,45.1331318,-0.6372099,,verificado,no comprobado,,,340
dwl-france,DWL France,Civrac-en-Médoc,Vino,,"Château de Panigon & Chateau Amour - 1A Route d'Escurac, 33340 Civrac-en-Médoc",,,,,https://www.chateaudepanigon.fr,,,https://www.google.com/maps/search/?api=1&query=45.349599%2C-0.925366&query_place_id=ChIJkZD2n42VAUgRt_74HNDgbaA,45.349599,-0.925366,,pendiente,no comprobado,,,678
jean-boivert-et-fils,Jean Boivert et Fils,Couquèques,Vino,,"20 Rue du 3 Juillet 1895, 33340 Couquèques",,,,,https://www.ormes-sorbet.com,,,https://www.google.com/maps/search/?api=1&query=45.344544%2C-0.848527&query_place_id=ChIJ05NJPs6-AUgRtSheacBHk_c,45.344544,-0.848527,,pendiente,no comprobado,,,1190
earl-arbo,EARL Arbo,Francs,Vino,,"119 Route de Godard, 33570 Francs",,,,,https://www.vignobles-arbo.com,,,https://www.google.com/maps/search/?api=1&query=44.937222%2C-0.010529&query_place_id=ChIJc0-Gue9VVQ0Rz_4Nov6lfXY,44.937222,-0.010529,,pendiente,no comprobado,,,682
chateau-pey-labrie,Château Pey Labrie,Fronsac,Vino,,"Château Pey Labrie, 33126 Fronsac",,,,,http://www.pey-labrie.fr/,,,https://www.google.com/maps/search/?api=1&query=44.933320%2C-0.284460&query_place_id=ChIJO7DLqRdKVQ0RwFib9A8G2c0,44.933320,-0.284460,,pendiente,no comprobado,,,343
bernard-christian,Bernard Christian,Gaillan-en-Médoc,Carne,,"7 Route de Vendays Coudessan, 33340 Gaillan-en-Médoc",,,,,https://www.gadet-terrefort.com/,,,https://www.google.com/maps/search/?api=1&query=45.336873%2C-0.992838&query_place_id=ChIJh8JwSX-UAUgR3L-wDByuabg,45.336873,-0.992838,,pendiente,no comprobado,,,81
robert-et-fils,Robert et Fils,Gauriac,Vino,,"4 Rue du Port, 33710 Gauriac",,,,,https://chateaudesifs.fr/,,,https://www.google.com/maps/search/?api=1&query=45.077320%2C-0.637473&query_place_id=ChIJPX4sGjPUAUgRWlqMEtSmEPU,45.077320,-0.637473,,pendiente,no comprobado,,,1667
domaines-de-cazeau-et-perey,Domaines de Cazeau et Perey,Gornac,Vino,,"Cazeau, 33540 Gornac",,,,,https://www.vignobles-silvio-denz.com/,,,https://www.google.com/maps/search/?api=1&query=Domaines%20de%20Cazeau%20et%20Perey%2C%20Cazeau%2C%2033540%20Gornac&query_place_id=ChIJQWZbzk1oVQ0RAJLuBoQOqog,44.676176999999996,-0.183809,,pendiente,no comprobado,,,671
callac-mg,Callac MG,Illats,Vino,,"Château de Callac, 33720 Illats",,,,,https://www.chateaudecallac.com,,,https://www.google.com/maps/search/?api=1&query=44.589438%2C-0.374938&query_place_id=ChIJWzqVptQTVQ0RAAMa7iTsS4Y,44.589438,-0.374938,,pendiente,no comprobado,,,232
chateau-de-la-riviere,Château de la Riviere,La Rivière,Vino,,"1 Château de la Rivière, 33126 La Rivière",,,,,http://www.chateau-de-la-riviere.com/,,,https://www.google.com/maps/search/?api=1&query=44.939288%2C-0.312423&query_place_id=ChIJwfCXQAJKVQ0Ra6YLInzVNK0,44.939288,-0.312423,,pendiente,no comprobado,,,307
chateau-hennebelle,Château Hennebelle,Lamarque,Vino,,"21 Route de Pauillac, 33460 Lamarque",,,,,http://www.chateauhennebelle.com/,,,https://www.google.com/maps/search/?api=1&query=45.094598%2C-0.726718&query_place_id=ChIJkWq_GebQAUgRVvMpC6nyqLk,45.094598,-0.726718,,pendiente,no comprobado,,,323
carreyre-et-fils,Carreyre et Fils,Landiras,Vino,,"2224 Chemin de Batseres, 33720 Landiras",,,,,https://www.chateauclare.fr,,,,44.547790899999995,-0.446998,,pendiente,no comprobado,,,240
earl-bouyx,EARL Bouyx,Landiras,Vino,,"Château d'Arricaud, 33720 Landiras",,,,,https://www.chateau-darricaud.fr,,,https://www.google.com/maps/search/?api=1&query=44.576952%2C-0.394007&query_place_id=ChIJP-50YL0RVQ0RMMJu3jRL_Eo,44.576952,-0.394007,,pendiente,no comprobado,,,686
a-vigier,A. Vigier,Libourne,Vino,,"11 Chemin du Casse, 33500 Libourne",,,,,https://www.vignobles-vigier.fr/,,,,44.918700799999996,-0.2247978,,pendiente,no comprobado,,,6
chateau-lestage,Château Lestage,Listrac-Médoc,Otros,,"Château Fonreaud, 33480 Listrac-Médoc",,,,,https://www.vignobles-chanfreau.com/,,,https://www.google.com/maps/search/?api=1&query=Ch%C3%A2teau%20Lestage%2C%20Ch%C3%A2teau%20Fonreaud%2C%2033480%20Listrac-M%C3%A9doc&query_place_id=ChIJTeE0uYXZAUgR3VOCe-DJXmQ,45.0580984,-0.7969681,,pendiente,no comprobado,,,339
vignobles-chanfreau-sc-du-chateau-lestage,Vignobles Chanfreau (SC du Château Lestage),Listrac-Médoc,Otros,,"Chateau Fonreaud, 33480 Listrac-Médoc",,,,,https://www.vignobles-chanfreau.com/,,,https://www.google.com/maps/search/?api=1&query=Vignobles%20Chanfreau%20%28SC%20du%20Ch%C3%A2teau%20Lestage%29%2C%20Chateau%20Fonreaud%2C%2033480%20Listrac-M%C3%A9doc&query_place_id=ChIJLcE_AnTZAUgRhO4c7aSVXnk,45.0580984,-0.7969681,,pendiente,no comprobado,,,1747
bortoli-patrice,Bortoli Patrice,Macau,Vino,,"6 Impasse de la Liberation, 33460 Macau",,,,,https://moutte-blanc.fr,,,https://www.google.com/maps/search/?api=1&query=45.007215%2C-0.615004&query_place_id=ChIJIxtSNFvVAUgRBKXO4r6Jxik,45.007215,-0.615004,,pendiente,no comprobado,,,109
domaine-viticole-chateau-luchey-halde,Domaine Viticole Château Luchey Halde,Mérignac,Vino,,"17 Avenue du Maréchal Joffre, 33700 Mérignac",,,,,https://www.luchey-halde.com,,,https://www.google.com/maps/search/?api=1&query=44.822192%2C-0.628759&query_place_id=ChIJZxSZQ0XYVA0R3U68SK0HimQ,44.822192,-0.628759,,pendiente,no comprobado,,,667
vignobles-anne-marie-gillet,Vignobles Anne-Marie Gillet,Omet,Vino,,"Lieu Dit la Bertrande, 33410 Omet",,,,,https://www.chateaulabertrande.fr,,,https://www.google.com/maps/search/?api=1&query=44.653411%2C-0.280411&query_place_id=ChIJPYaOARhrVQ0RM3h6K6hYwE0,44.653411,-0.280411,,pendiente,no comprobado,,,1744
domaine-de-la-chataignere,Domaine de la Chataignere,Périssac,Carne,,"1 Lieu Dit les Grandes Terres, 33240 Périssac",,,,,https://www.domaine-chataigniere.fr,,,https://www.google.com/maps/search/?api=1&query=45.0128711%2C-0.3060726&query_place_id=ChIJP4-a5n0hAEgRbEBtf-s-bcI,45.0128711,-0.3060726,,pendiente,no comprobado,,,529
chateau-la-vieille-cure,Château la Vieille Cure,Saillans,Vino,,"Coutreau, 33141 Saillans",,,,,https://la-vieille-cure.com/,,,https://www.google.com/maps/search/?api=1&query=44.954937%2C-0.271687&query_place_id=ChIJfViS2EWjyhIR_xVMI_c7EvA,44.954937,-0.271687,,pendiente,no comprobado,,,330
fauchey-cedric,Fauchey Cedric,Saint-Estèphe,Vino,,"10 Rue des Martyrs de la Resistance, 33180 Saint-Estèphe",,,,,https://www.cave-la-paroisse.fr/,,,,45.264036,-0.769562,,pendiente,no comprobado,,,770
chaussie,Chaussie,Saint-Germain-de-Grave,Vino,,"Domaine du Cheval Blanc, 33490 Saint-Germain-de-Grave",,,,,https://www.domaine-du-cheval-blanc.com,,,https://www.google.com/maps/search/?api=1&query=44.6424529%2C-0.2333135&query_place_id=ChIJvZMHcehrVQ0RKpM09anpf_o,44.6424529,-0.2333135,,pendiente,no comprobado,,,362
