slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen,verificacion,Venta online,Canal de venta,categorias adicionales
birrificio-san-luca,Birrificio San Luca,Imperia,Cerveza,birra artigianale,,Birrificio San Luca is an independent brewery in Imperia producing its own craft beer.,,,,https://www.birrificiosanluca.it/,,,,43.88647,8.02965,,verificado,no comprobado,,
azienda-agricola-il-cascin,AZIENDA AGRICOLA IL CASCIN,Cesio,Aceite,Olio extravergine di oliva Riviera Ligure DOP,Via C. Colombo 1 18020 Arzeno d'Oneglia - Cesio (IM),AZIENDA AGRICOLA IL CASCIN produces certified Riviera Ligure DOP extra-virgin olive oil in Cesio.,,+390183652664,info@ilcascin.it,http://www.ilcascin.it,,,https://www.google.com/maps/search/?api=1&query=AZIENDA%20AGRICOLA%20IL%20CASCIN%2C%20Via%20C.%20Colombo%201%2018020%20Arzeno%20d'Oneglia%20-%20Cesio%20(IM),44.00795,7.97547,,verificado,no comprobado,,
olio-roi,OLIO ROI,Badalucco,Aceite,Olio extravergine di oliva Riviera Ligure DOP,Via Argentina 1 18010 Badalucco (IM),OLIO ROI produces certified Riviera Ligure DOP extra-virgin olive oil in Badalucco.,,+390184408004,info@olioroi.com,http://www.olioroi.com,,,https://www.google.com/maps/search/?api=1&query=OLIO%20ROI%2C%20Via%20Argentina%201%2018010%20Badalucco%20(IM),43.9157,7.847,,verificado,no comprobado,,
frantoio-oleario-marvaldi-giuseppe,FRANTOIO OLEARIO MARVALDI GIUSEPPE,Borgomaro,Aceite,Olio extravergine di oliva Riviera Ligure DOP,Via Candeasco 9 18021 Borgomaro (IM),FRANTOIO OLEARIO MARVALDI GIUSEPPE produces certified Riviera Ligure DOP extra-virgin olive oil in Borgomaro.,,+39018354016,info@frantoiomarvaldi.com,http://www.frantoiomarvaldi.com,,,https://www.google.com/maps/search/?api=1&query=FRANTOIO%20OLEARIO%20MARVALDI%20GIUSEPPE%2C%20Via%20Candeasco%209%2018021%20Borgomaro%20(IM),43.97552,7.9448,,verificado,no comprobado,,
podere-donzella,PODERE DONZELLA,Castellaro,Aceite,Olio extravergine di oliva Riviera Ligure DOP,Piazza Fratelli Ruffini 4 18011 Castellaro (IM),PODERE DONZELLA produces certified Riviera Ligure DOP extra-virgin olive oil in Castellaro.,,+393480114560,podere.donzella@gmail.com,,,,https://www.google.com/maps/search/?api=1&query=PODERE%20DONZELLA%2C%20Piazza%20Fratelli%20Ruffini%204%2018011%20Castellaro%20(IM),43.86436,7.86881,,parcial,no comprobado,,
raineri-spa,RAINERI SPA,Chiusanico,Aceite,Olio extravergine di oliva Riviera Ligure DOP,Via Nazionale Sud 11 18027 Chiusanico (IM),RAINERI SPA produces certified Riviera Ligure DOP extra-virgin olive oil in Chiusanico.,,+390183529050,info@olioraineri.com,http://www.olioraineri.com,,,https://www.google.com/maps/search/?api=1&query=RAINERI%20SPA%2C%20Via%20Nazionale%20Sud%2011%2018027%20Chiusanico%20(IM),43.97116,7.99327,,verificado,no comprobado,,
ranise-agroalimentare,RANISE AGROALIMENTARE,Chiusanico,Aceite,Olio extravergine di oliva Riviera Ligure DOP,Via Monte Pasubio 43 18027 Chiusanico (IM),RANISE AGROALIMENTARE produces certified Riviera Ligure DOP extra-virgin olive oil in Chiusanico.,,+390183767966,info@ranise.it,http://www.ranise.com,,,https://www.google.com/maps/search/?api=1&query=RANISE%20AGROALIMENTARE%2C%20Via%20Monte%20Pasubio%2043%2018027%20Chiusanico%20(IM),43.97116,7.99327,,verificado,no comprobado,,
azienda-agricola-damiano-ss,AZIENDA AGRICOLA DAMIANO SS,Chiusavecchia,Aceite,Olio extravergine di oliva Riviera Ligure DOP,Via Lucinasco 1 18027 Chiusavecchia (IM),AZIENDA AGRICOLA DAMIANO SS produces certified Riviera Ligure DOP extra-virgin olive oil in Chiusavecchia.,,+39018352717,tiziano.damiano@libero.it,http://www.damianoagricola.it,,,https://www.google.com/maps/search/?api=1&query=AZIENDA%20AGRICOLA%20DAMIANO%20SS%2C%20Via%20Lucinasco%201%2018027%20Chiusavecchia%20(IM),43.96781,7.98337,,verificado,no comprobado,,
fratelli-merano,FRATELLI MERANO,Chiusavecchia,Aceite,Olio extravergine di oliva Riviera Ligure DOP,Via Lucinasco 2 18027 Chiusavecchia (IM),FRATELLI MERANO produces certified Riviera Ligure DOP extra-virgin olive oil in Chiusavecchia.,,+390183529032,fratellimerano@fratellimerano.it,,,,https://www.google.com/maps/search/?api=1&query=FRATELLI%20MERANO%2C%20Via%20Lucinasco%202%2018027%20Chiusavecchia%20(IM),43.96781,7.98337,,parcial,no comprobado,,
gandolfo-sas,GANDOLFO SAS,Chiusavecchia,Aceite,Olio extravergine di oliva Riviera Ligure DOP,Reg. Oliveto di Olivastri 18027 Chiusavecchia (IM),GANDOLFO SAS produces certified Riviera Ligure DOP extra-virgin olive oil in Chiusavecchia.,,+39018352888,gandolfosas@gmail.com,,,,https://www.google.com/maps/search/?api=1&query=GANDOLFO%20SAS%2C%20Reg.%20Oliveto%20di%20Olivastri%2018027%20Chiusavecchia%20(IM),43.96781,7.98337,,parcial,no comprobado,,
