slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen
pasamontes-rustica-moral-de-calatrava,Pasamontes Rústica,Moral de Calatrava,Lácteos y quesos,"Queso manchego artesano, yogur de oveja, crema de queso","Dehesa de las Páginas, CM-412 km 72,5",Quesería familiar con más de 150 años de tradición que elabora queso manchego desde su propia ganadería de oveja manchega.,Consultar web,926 330 140,info@pasamontes.es,https://www.pasamontes.es/,,https://www.instagram.com/pasamontesquesomanchego/,https://www.google.com/maps/search/?api=1&query=Pasamontes%20R%C3%BAstica%2C%20Dehesa%20de%20las%20P%C3%A1ginas%2C%20CM-412%20km%2072%2C5%2C%20Moral%20de%20Calatrava%2C%20Ciudad%20Real%2C%20Espa%C3%B1a,38.8293937,-3.5793395,
quesos-la-casota-la-solana,Quesos La Casota,La Solana,Lácteos y quesos,"Queso manchego artesano, Marantona, queso viejo","Polígono Industrial La Serna, Av. los Industriales 5.2 y 5.3",Quesería familiar de La Solana especializada en queso manchego artesano con leche cruda de su propia ganadería.,Consultar web,926 634 146,info@quesoslacasota.com,https://www.quesoslacasota.com/,,https://www.instagram.com/quesoslacasota/,https://www.google.com/maps/search/?api=1&query=Quesos%20La%20Casota%2C%20Pol%C3%ADgono%20Industrial%20La%20Serna%2C%20Av.%20los%20Industriales%205.2%20y%205.3%2C%20La%20Solana%2C%20Ciudad%20Real%2C%20Espa%C3%B1a,38.9419370,-3.2365280,
finca-valdivieso-1880-alcazar-de-san-juan,Finca Valdivieso 1880,Alcázar de San Juan,Lácteos y quesos,"Queso manchego de granja, queso en AOVE, queso trufado","Carretera Alcázar-Manzanares, km 24",Explotación familiar que controla todo el proceso del campo al queso con leche cruda de su propio rebaño manchego.,Consultar web,926 691 008,contacto@quesovaldivieso.com,https://www.quesovaldivieso.com/,,https://www.instagram.com/quesovaldivieso/,https://www.google.com/maps/search/?api=1&query=Finca%20Valdivieso%201880%2C%20Carretera%20Alc%C3%A1zar-Manzanares%2C%20km%2024%2C%20Alc%C3%A1zar%20de%20San%20Juan%2C%20Ciudad%20Real%2C%20Espa%C3%B1a,39.3899806,-3.2101376,
las-terceras-torre-de-juan-abad,Las Terceras,Torre de Juan Abad,Lácteos y quesos,"Queso manchego semicurado, curado, viejo artesano","Carretera Cózar-Torrenueva, km 18",Quesería artesana situada en un caserío histórico del Campo de Montiel y vinculada a su propia ganadería manchega.,Consultar web,926 694 100 / 606 711 692,info@lasterceras.com,https://www.lasterceras.com/,,https://www.instagram.com/lasterceras/,https://www.google.com/maps/search/?api=1&query=Las%20Terceras%2C%20Carretera%20C%C3%B3zar-Torrenueva%2C%20km%2018%2C%20Torre%20de%20Juan%20Abad%2C%20Ciudad%20Real%2C%20Espa%C3%B1a,38.5845739,-3.0609335,
finca-la-granja-torre-de-juan-abad,Finca La Granja,Torre de Juan Abad,Lácteos y quesos,"Queso manchego semicurado, curado, Mingolucas en AOVE","CR-624 de Valdepeñas a Cózar, km 17",Finca quesera de Agrícola La Merced con rebaño propio y elaboración artesanal de queso manchego en el Campo de Montiel.,Consultar web,926 694 008 / 622 537 866,info@fincalagranja.es,https://www.fincalagranja.es/,,https://www.instagram.com/quesochisquero/,https://www.google.com/maps/search/?api=1&query=Finca%20La%20Granja%2C%20CR-624%20de%20Valdepe%C3%B1as%20a%20C%C3%B3zar%2C%20km%2017%2C%20Torre%20de%20Juan%20Abad%2C%20Ciudad%20Real%2C%20Espa%C3%B1a,38.5845739,-3.0609335,
finca-fuentillezjos-poblete,Finca Fuentillezjos,Poblete,Lácteos y quesos,"Queso manchego ecológico, queso de oveja ecológico","CR-4129 Alarcos a Corral de Calatrava, km 4,5",Finca familiar agroecológica que elabora queso manchego DOP ecológico con leche de su propio rebaño de oveja manchega.,Consultar web,647 505 434,info@manchegobio.com,https://www.fincafuentillezjos.com/,,https://www.instagram.com/fincafuentillezjos/,https://www.google.com/maps/search/?api=1&query=Finca%20Fuentillezjos%2C%20CR-4129%20Alarcos%20a%20Corral%20de%20Calatrava%2C%20km%204%2C5%2C%20Poblete%2C%20Ciudad%20Real%2C%20Espa%C3%B1a,38.9292411,-3.9855231,
quesos-el-hidalgo-manzanares,Quesos El Hidalgo,Manzanares,Lácteos y quesos,"Queso manchego DOP, queso de oveja, queso en aceite","Autovía de Andalucía, km 172,5","Empresa familiar de Manzanares dedicada a quesos manchegos DOP y especialidades de oveja, cabra e ibéricos.",Consultar web,926 610 553,administracion@quesoselhidalgo.com,https://quesoselhidalgo.com/,,https://www.instagram.com/quesos_el_hidalgo/,https://www.google.com/maps/search/?api=1&query=Quesos%20El%20Hidalgo%2C%20Autov%C3%ADa%20de%20Andaluc%C3%ADa%2C%20km%20172%2C5%2C%20Manzanares%2C%20Ciudad%20Real%2C%20Espa%C3%B1a,38.9962242,-3.3722143,
danso-dop-manchego-campo-de-criptana,DANSO DOP Manchego,Campo de Criptana,Lácteos y quesos,"Queso manchego, queso Cantarero, queso de cabra","C. Álvarez de Castro, 9","Empresa criptanense especializada en queso manchego y quesos de oveja, cabra e ibéricos bajo la marca Cantarero.",Consultar web,,,https://directorioempresarial.campodecriptana.es/empresas/danso-dop-manchego-s-l/,,,https://www.google.com/maps/search/?api=1&query=DANSO%20DOP%20Manchego%2C%20C.%20%C3%81lvarez%20de%20Castro%2C%209%2C%20Campo%20de%20Criptana%2C%20Ciudad%20Real%2C%20Espa%C3%B1a,39.4024371,-3.1266719,
dehesa-vallejo-fuente-el-fresno,Dehesa Vallejo,Fuente el Fresno,Lácteos y quesos,"Queso de oveja, queso tierno, semicurado y curado","Av. Juan Carlos I, 53",Empresa familiar dedicada al ganado ovino y a la producción artesanal y limitada de queso de oveja.,Consultar web,926 806 085,,http://www.dehesavallejo.com,,,https://www.google.com/maps/search/?api=1&query=Dehesa%20Vallejo%2C%20Av.%20Juan%20Carlos%20I%2C%2053%2C%20Fuente%20el%20Fresno%2C%20Ciudad%20Real%2C%20Espa%C3%B1a,39.2262651,-3.7710053,
quesos-pedro-paquillo-e-hijos-los-carrenos-la-solana,Quesos Pedro Paquillo e Hijos - Los Carreños,La Solana,Lácteos y quesos,"Queso manchego, queso de oveja, quesos curados","C. Sagunto, 58",Quesería de La Solana dedicada a quesos manchegos y especialidades de oveja con venta directa local.,Consultar web,606 217 600,,https://quesospedropaquilloehijos.es/,,https://www.instagram.com/quesospedropaquilloehijos/,https://www.google.com/maps/search/?api=1&query=Quesos%20Pedro%20Paquillo%20e%20Hijos%20-%20Los%20Carre%C3%B1os%2C%20C.%20Sagunto%2C%2058%2C%20La%20Solana%2C%20Ciudad%20Real%2C%20Espa%C3%B1a,38.9432685,-3.2325818,
