slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen,verificacion,Venta online,Canal de venta,categorias adicionales,producer_id
odonnells-crisps,O'Donnells Crisps,Kilsheelan,Aperitivos,hand cooked crisps,"Seskin Farm, R706, Clonmel, Co. Tipperary","Hand-cooked crisp maker at Seskin Farm outside Clonmel, frying crisps from potatoes grown on the family farm.",,,info@odonnellscrisps.com,https://www.odonnellscrisps.com/,https://facebook.com/odonnellscrisps,https://instagram.com/odonnellscrisps,,52.36221,-7.58052,/productores/ie/munster/tipperary/odonnells-crisps.webp,verificado,sí,ecommerce,,162
crossogue-preserves,Crossogue Preserves,Thurles,Conservas,"jams, marmalades, jellies, preserves","Crossogue House, Ballycahill, Thurles, Co. Tipperary, E41W6Y8","Preserve maker at Crossogue House near Thurles producing over two hundred varieties of jams, jellies and marmalades by hand in small batches.",,+35350454416,info@crossoguepreserves.com,https://crossoguepreserves.com/,https://www.facebook.com/crossoguepreserves,https://www.instagram.com/crossogue_preserves,,52.678880,-7.814370,/productores/ie/munster/tipperary/crossogue-preserves.webp,verificado,sí,ecommerce,,61
cashel-blue,Cashel Blue,Cashel,Lácteos y quesos,"Cashel Blue, Crozier Blue","Beechmount Farm, Co. Tipperary, E91 E8W8","Farmhouse blue cheese dairy at Beechmount Farm, making Cashel Blue from Tipperary grass-fed milk since the 1980s and now run by the second generation.",,+353526132797,info@cashelblue.com,https://www.cashelblue.com/,,https://www.instagram.com/cashelfarmhousecheese,,52.503615,-7.875367,/productores/ie/munster/tipperary/cashel-blue.webp,parcial,sí,ecommerce,,48
galtee-honey-farm,Galtee Honey Farm,Burncourt,Miel,"raw Irish honey, beeswax, mead","Glengarra Wood, Burncourt, Cahir, Co. Tipperary, E21 YR64","Honey farm at Glengarra Wood in the Galtee Mountains producing raw honey and beeswax, with beekeeping and tasting tours.",,+353876743030,galteebees@gmail.com,https://galteehoney.com/,https://www.facebook.com/galteehoneyfarm,https://www.instagram.com/galteehoneyfarm,,52.333251,-8.109335,/productores/ie/munster/tipperary/galtee-honey-farm.webp,verificado,sí,ecommerce,,87
bulmers,Bulmers,Clonmel,Sidra,Bulmers Original Irish Cider,"Clonmel, Co. Tipperary",Cider maker in Clonmel producing Bulmers Original Irish Cider from Tipperary orchards since 1935.,,+353527448270,,https://bulmers.ie/,https://www.facebook.com/magnerscider,,,52.361105,-7.699178,/productores/ie/munster/tipperary/bulmers.webp,parcial,no comprobado,,,40
the-apple-farm,The Apple Farm,Cahir,Fruta y verdura,"apples, strawberries, raspberries, plums, cherries, apple juice","Cahir, Co. Tipperary","Fruit farm at Cahir growing apples, berries, plums and cherries since 1968 and bottling its own apple juice, with a campsite on the farm.",,,,https://theapplefarm.com/,,,,52.4738,-7.8943,,verificado,no comprobado,,Bebidas sin alcohol,200
emerald-oils,Emerald Oils,New Inn,Aceite,"cold-pressed rapeseed oil, dressings","Ballygerald East, New Inn, Cashel, Co. Tipperary",Third-generation Corbett family farm at Ballygerald East growing and cold-pressing its own rapeseed into culinary oil and dressings.,,+353527462828,,https://www.emeraldoils.ie/,,,,52.4448663,-7.8582657,,verificado,no comprobado,,,79
good-herdsmen,The Good Herdsmen,Cahir,Carne,organic pasture-raised beef,"Cahir, Co. Tipperary","Organic beef producer group based at Cahir, finishing pasture-raised cattle with its member farms.",,+353527445500,info@goodherdsmen.ie,https://www.goodherdsmen.ie/,,,,52.373055,-7.9312877,,parcial,no comprobado,,,209
hayes-farm,Hayes' Farm,Two-Mile Borris,Lácteos y quesos,"soft cheese, yogurt, soured cream, crème fraîche, mascarpone","Middlepiece, Two Mile Borris, Thurles, Co. Tipperary","Family farm at Middlepiece near Two-Mile Borris making soft cheeses and yogurts, trading as The Tipperary Cheese Co.",,+35350444325,sales@tippcheese.ie,https://hayesfarm.ie/,https://www.facebook.com/HayesFarmTipperary,https://www.instagram.com/tipperarycheese,,52.673040,-7.712590,/productores/ie/munster/tipperary/hayes-farm.webp,verificado,no comprobado,,,98
nancys-fancies,Nancy's Fancies,Cahir,Dulces y repostería,"handmade cakes, traybakes","Cahir, Co. Tipperary, E21 YE97","Bakery near Cahir handmaking cakes and traybakes, stocked in SuperValu stores.",,+353868786398,nancysfanciesbakery@gmail.com,https://nancysfancies.ie/,https://www.facebook.com/p/Nancys-Fancies-100071884427253/,https://www.instagram.com/nancysfancies_,,52.3825725,-7.9455217,/productores/ie/munster/tipperary/nancys-fancies.webp,verificado,no comprobado,,,150
