slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen,verificacion,Venta online,Canal de venta,categorias adicionales,producer_id,descripcion_locale
azienda-agricola-del-grillo,Azienda Agricola del Grillo,Alcamo,Vino,vini biologici,"Via de Cristoforis, 20, 91011 Alcamo TP",Azienda Agricola del Grillo is a current TRACES-certified organic operator in Alcamo producing vini biologici.,,+393205767507,info@delgrillo.it,https://www.delgrillo.it/,,,https://www.google.com/maps/search/?api=1&query=Azienda%20Agricola%20del%20Grillo%2C%20Via%20de%20Cristoforis%2C%2020%2C%2091011%20Alcamo%20TP&query_place_id=ChIJQcwAGU-GGRMRqG5dvZHia_s,37.984027999999995,12.959180499999999,,verificado,sí,ecommerce,,327,en
lagilat,Lagilat,Alcamo,Lácteos y quesos,"formaggi caprini e ovini, uova","Via Cimabue 2, 91011 Alcamo TP",Caseificio specializzato nella trasformazione del latte caprino e ovino in formaggi freschi e stagionati.,,,,,,,,37.96667,12.96667,,parcial,no comprobado,,,2288,it
spatafora-formaggi,Spatafora Formaggi,Calatafimi Segesta,Lácteos y quesos,"Pecorino Siciliano, ricotta di pecora","Contrada Kaggera, SS 113 km 342, 91013 Calatafimi Segesta TP",Caseificio familiare autorizzato alla produzione di pecorino siciliano e ricotta di pecora nello stabilimento di Kaggera.,,,,,,,,37.9,12.85,,parcial,no comprobado,,,3218,it
caseificio-cammarata-isidoro,Caseificio Cammarata Isidoro,Castelvetrano,Lácteos y quesos,"pecorino, primo sale, ricotta","Via Seggio, Contrada Stella 204/5, 91022 Castelvetrano TP","Caseificio artigianale che produce formaggi ovini siciliani, primo sale aromatizzato e ricotta.",,+390924902277,info@caseificiocammarata.it,https://www.caseificiocammarata.it/,,,,37.67861,12.79167,,verificado,no comprobado,,,989,it
gelateria-mozart-castelvetrano,Gelateria Mozart,Castelvetrano,Helados,"gelati, torte gelato","Viale Autonomia Siciliana, Opificio 7, 91022 Castelvetrano TP",Laboratorio e gelateria di Castelvetrano con produzione propria di gelati e pasticceria fredda.,,+390924907602,,,,,,37.67861,12.79167,,parcial,no comprobado,,,2005,it
belice-formaggi,Belice Formaggi,Gibellina,Lácteos y quesos,"crema di ricotta di pecora, formaggi siciliani","Largo delle Arti e dei Mestieri, 91024 Gibellina TP",Impresa casearia familiare che lavora ricotta di pecora e prodotti lattiero-caseari siciliani nello stabilimento di Gibellina.,,+39092467989,,,,,,37.80646,12.8709,,parcial,no comprobado,,,529,it
biopek,Biopek,Gibellina,Lácteos y quesos,"pecorini siciliani, formaggi aromatizzati","Via Empedocle Restivo 11, 91024 Gibellina TP",Caseificio che trasforma latte ovino della Valle del Belice e stagiona formaggi tipici siciliani.,,+39092467984,info@biopek.it,https://www.biopek.it/,,,,37.80646,12.8709,,verificado,no comprobado,,,560,it
caseificio-manfre,Caseificio Manfrè,Gibellina,Lácteos y quesos,"Vastedda della Valle del Belìce DOP, pecorino","Zona PIP, Viale Empedocle, 91024 Gibellina TP","Caseificio tradizionale della famiglia Manfrè, produttore di Vastedda della Valle del Belìce DOP e pecorini.",,+393334043191,info@caseificiomanfre.it,https://www.caseificiomanfre.it/,,,,37.80646,12.8709,,verificado,no comprobado,,,1234,it
artegel,Artegel,Marsala,Helados,"gelati, granite, torte gelato, semifreddi","Contrada San Silvestro 452/E-6, 91025 Marsala TP","Produttore marsalese di gelati, granite, semifreddi e pasticceria fredda con stabilimento proprio.",,+390923981718,artegel.gelati@gmail.com,https://artegelgelati.it/,,,,37.79806,12.43417,,verificado,no comprobado,,Dulces y repostería,217,it
caseificio-impicciche,Caseificio Impiccichè,Marsala,Lácteos y quesos,"Biscuso, Piddiato, Ubriaco di Marsala, Garibaldino","Contrada Santo Padre delle Perriere, 91025 Marsala TP",Azienda agri-zootecnica a ciclo chiuso che trasforma il latte del proprio gregge in formaggi tradizionali marsalesi.,,,caseificioimpicciche@gmail.com,,,,,37.79806,12.43417,,parcial,no comprobado,,,1176,it
