slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen,verificacion
4-ojos-wines-el-puerto-de-santa-maria,4 Ojos Wines,El Puerto de Santa María,Bodega y licores,"Vinos blancos, vinos tintos, vinos tranquilos de Cádiz","C. Alfred Nobel, 295, 11500 El Puerto de Sta María, Cádiz","Pequeña bodega creada en 2016 formada por tres mujeres del mundo de la viticultura y la enología. Es una joven empresa que lleva a cabo elaboraciones con vinos monovarietales de calidad, con uva Moscatel de Alejandría y con uva autóctona adquirida a viticultores de la provincia de Cádiz, elaboradas de una manera alternativa a la convencional. La característica principal de esta bodega es que todos sus trabajos son llevados a.",Consultar web o venta directa,+34 600 050 764,4ojoswines@gmail.com,http://www.4ojoswines.es/,https://www.facebook.com/4ojoswines,https://www.instagram.com/4ojoswines,https://www.google.com/maps/search/?api=1&query=4%20Ojos%20Wines%2C%20C.%20Alfred%20Nobel%2C%20295%2C%2011500%20El%20Puerto%20de%20Sta%20Mar%C3%ADa%2C%20C%C3%A1diz&query_place_id=ChIJoW3UhxfPDQ0RNrlGfWpkHFg,36.6051925,-6.1931759,,pendiente
abuelo-bread-el-puerto-de-santa-maria,Abuelo Bread,El Puerto de Santa María,Pan y pastelería,Abuelo Bread,"C. Manantial, 16, 11500 El Puerto de Sta María, Cádiz","Abuelo Bread es un productor local de El Puerto de Santa María especializado en abuelo bread, integrado en la oferta agroalimentaria de proximidad de la provincia de Cádiz.",Consultar web o venta directa,+34 856 049 629,info@abuelobread.com,http://www.abuelobread.com/,https://www.facebook.com/abuelobread,https://www.instagram.com/abuelobread,https://www.google.com/maps/search/?api=1&query=Abuelo%20Bread%2C%20C.%20Manantial%2C%2016%2C%2011500%20El%20Puerto%20de%20Sta%20Mar%C3%ADa%2C%20C%C3%A1diz&query_place_id=ChIJBVgr0ZHPDQ0RFmEoJMEHfhQ,36.6094126,-6.208995,,pendiente
algodoliva-algodonales,Algodoliva,Algodonales,Aceite,"Algodoliva, Ecoalgodoliva (CAAE)","Avda DON MANUEL PIMENTEL s/n, 11680 Algodonales, Cádiz","Algodoliva es un productor local de Algodonales especializado en algodoliva, ecoalgodoliva (caae), integrado en la oferta agroalimentaria de proximidad de la provincia de Cádiz.",Consultar web o venta directa,+34 956 137 156,pacoleo@algodoliva.org,http://www.algodoliva.es/,https://www.facebook.com/ALGODOLIVA,https://www.instagram.com/algodoliva,https://www.google.com/maps/search/?api=1&query=Algodoliva%2C%20Avda%20DON%20MANUEL%20PIMENTEL%20s%2Fn%2C%2011680%20Algodonales%2C%20C%C3%A1diz&query_place_id=ChIJG902uWRqDQ0Rkm35SRhwc38,36.875626,-5.413028,,pendiente
almazara-las-pilas-olvera,Almazara las Pilas,Olvera,Aceite,Molino las Pilas,"C. Socorro, 48, 11690 Olvera, Cádiz","Almazara las Pilas es un productor local de Olvera especializado en molino las pilas, integrado en la oferta agroalimentaria de proximidad de la provincia de Cádiz.",Consultar web o venta directa,+34 956 130 730,info@almazaralaspilas.com,http://www.almazaralaspilas.com/,https://www.facebook.com/almazaralaspilas,https://www.instagram.com/almazaralaspilas,https://www.google.com/maps/search/?api=1&query=Almazara%20las%20Pilas%2C%20C.%20Socorro%2C%2048%2C%2011690%20Olvera%2C%20C%C3%A1diz&query_place_id=ChIJF2RCgi1EDQ0RvcR6udcD9FA,36.9334458,-5.2710545,,pendiente
apicola-patino-barrio-nuevo,Apícola Patiño,Barrio Nuevo,Miel,Apícola Patiño,"Carr. de Bo. Nuevo, 0, 11149 Barrio Nuevo, Cádiz","Apícola Patiño es un productor local de Barrio Nuevo especializado en apícola patiño, integrado en la oferta agroalimentaria de proximidad de la provincia de Cádiz.",Consultar web o venta directa,+34 956 445 645,info@latiendadelamiel.es,http://www.latiendadelamiel.es/,https://www.facebook.com/www.latiendadelamiel.es,https://www.instagram.com/miel_reina_abeja_,https://www.google.com/maps/search/?api=1&query=Ap%C3%ADcola%20Pati%C3%B1o%2C%20Carr.%20de%20Bo.%20Nuevo%2C%200%2C%2011149%20Barrio%20Nuevo%2C%20C%C3%A1diz&query_place_id=ChIJGxxGrjk2DA0R71HPFe1gaWw,36.338995,-6.081885199999999,,pendiente
aromas-de-medina-medina-sidonia,Aromas de Medina,Medina-Sidonia,Dulces y repostería,"Aromas de Medina, Alanda, Torremiel, Ducado Medina Sidonia","Ctra. Medina-Paterna km 1,5 Ctra. Medina-Paterna km 1,5, 11170 Medina-Sidonia, Cádiz","Aromas de Medina es un productor local de Medina-Sidonia especializado en aromas de medina, alanda, torremiel, ducado medina sidonia, integrado en la oferta agroalimentaria de proximidad de la provincia de Cádiz.",Consultar web o venta directa,+34 956 410 337,dulces@aromasdemedina.com,http://www.aromasdemedina.com/,https://www.facebook.com/aromasdemedina,https://www.instagram.com/aromasdemedina,https://www.google.com/maps/search/?api=1&query=Aromas%20de%20Medina%2C%20Ctra.%20Medina-Paterna%20km%201%2C5%20Ctra.%20Medina-Paterna%20km%201%2C5%2C%2011170%20Medina-Sidonia%2C%20C%C3%A1diz&query_place_id=ChIJIwPktLqtDQ0RZ2758Ijwmzg,36.471027,-5.921481399999999,,pendiente
barrialto-sanlucar-de-barrameda,Barrialto,Sanlúcar de Barrameda,Bodega y licores,Barrialto,"Plaza de Abastos, 11540 Sanlúcar de Barrameda, Cádiz","Barrialto es un productor local de Sanlúcar de Barrameda especializado en barrialto, integrado en la oferta agroalimentaria de proximidad de la provincia de Cádiz.",Consultar web o venta directa,+34 679 848 031,info@barrialto.com,http://www.barrialto.com/,,https://www.instagram.com/barrialtovinos,https://www.google.com/maps/search/?api=1&query=Barrialto%2C%20Plaza%20de%20Abastos%2C%2011540%20Sanl%C3%BAcar%20de%20Barrameda%2C%20C%C3%A1diz&query_place_id=ChIJyd0WmiXeDQ0RMk-cXqunKoQ,36.7772894,-6.3535736,,pendiente
bodega-almazara-sancha-perez-vejer-de-la-frontera,Bodega Almazara Sancha Pérez,Vejer de la Frontera,Aceite,Sancha Pérez,"Camino de los Moledores, s/n, 11150 Vejer de la Frontera, Cádiz","Bodega Almazara Sancha Pérez es un productor local de Vejer de la Frontera especializado en sancha pérez, integrado en la oferta agroalimentaria de proximidad de la provincia de Cádiz.",Consultar web o venta directa,+34 670 686 849,administracion@sanchaperez.com,http://www.sanchaperez.com/,https://www.facebook.com/sanchaperez,https://www.instagram.com/bodegasanchaperez,https://www.google.com/maps/search/?api=1&query=Bodega%20Almazara%20Sancha%20P%C3%A9rez%2C%20Camino%20de%20los%20Moledores%2C%20s%2Fn%2C%2011150%20Vejer%20de%20la%20Frontera%2C%20C%C3%A1diz&query_place_id=ChIJQcAXE8JHDA0Rm7hFxsjTv4o,36.2690713,-6.0455422,,pendiente
bodega-ambrosio-olvera,Bodega Ambrosio,Olvera,Bodega y licores,Bodega Ambrosio,"Pl. del Matadero, 6-4, 11690 Olvera, Cádiz","Bodega Ambrosio es un productor local de Olvera especializado en bodega ambrosio, integrado en la oferta agroalimentaria de proximidad de la provincia de Cádiz.",Consultar web o venta directa,+34 655 674 058,vinosecologicosambrosio@gmail.com,https://www.gustocadiz.com/es/empresa/bodega-ambrosio/,,,https://www.google.com/maps/search/?api=1&query=Bodega%20Ambrosio%2C%20Pl.%20del%20Matadero%2C%206-4%2C%2011690%20Olvera%2C%20C%C3%A1diz&query_place_id=ChIJz-Lh3sxFDQ0R0n1wJr1N2eA,36.9370889,-5.2673649,,pendiente
bodega-de-forlong-el-puerto-de-santa-maria,Bodega de Forlong,El Puerto de Santa María,Bodega y licores,Forlong,"Ctra. de Jerez-Rota, Km 6, 11500 El Puerto de Sta María, Cádiz","Bodega de Forlong es un productor local de El Puerto de Santa María especializado en forlong, integrado en la oferta agroalimentaria de proximidad de la provincia de Cádiz.",Consultar web o venta directa,+34 648 124 443,info@bodegadeforlong.com,http://www.bodegadeforlong.com/,https://www.facebook.com/forlongwine,https://www.instagram.com/forlongwine,https://www.google.com/maps/search/?api=1&query=Bodega%20de%20Forlong%2C%20Ctra.%20de%20Jerez-Rota%2C%20Km%206%2C%2011500%20El%20Puerto%20de%20Sta%20Mar%C3%ADa%2C%20C%C3%A1diz&query_place_id=ChIJv-aZKOHPDQ0RZBCiQ9DSIZI,36.6630632,-6.2575061,,pendiente
