slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,fecha_revision,imagen
aceite-bardomus-alcala-de-xivert,Aceite Bardomus,Alcalà de Xivert,Aceite,Aceite de oliva virgen extra,"Partida Tormassal s/n, 12570 Alcalà de Xivert, Castellón","Productor local de aceite de oliva virgen extra en la provincia de Castellón, incorporado desde el directorio oficial Castelló Ruta de Sabor.",Consultar web,676294364,,http://www.bardomus.com,,https://www.instagram.com/bardomus_aove/,https://www.google.com/maps/search/?api=1&query=Aceite%20Bardomus%2C%2012570%20Alcal%C3%A0%20de%20Xivert%2C%20Castell%C3%B3n&query_place_id=ChIJuSG8TPMToBIRU4g4fKJhAis,40.2472979,0.2189514,2026-05-07,
oliquina-aceite-de-oliva-virgen-extra-cabanes,Oliquina - Aceite de Oliva Virgen Extra,Cabanes,Aceite,Aceite de oliva virgen extra,"Camí Pou de Bóta, 12180 Cabanes, Castellón","Productor local de aceite de oliva virgen extra en la provincia de Castellón, incorporado desde el directorio oficial Castelló Ruta de Sabor.",Consultar web,615614411,martinahribes@gmail.com,https://masencalma.com,,,https://www.google.com/maps/search/?api=1&query=Oliquina%20-%20Aceite%20de%20Oliva%20Virgen%20Extra%2C%20Cam%C3%AD%20del%20Pou%20de%20la%20B%C3%B3ta%2C%2012180%20Cabanes%2C%20Castell%C3%B3&query_place_id=ChIJyz3Kt50HoBIRyy5CqTPUitw,40.1441662,0.0583711,2026-05-07,
aceite-enverde-segorbe,Aceite Enverde,Segorbe,Aceite,Aceite de oliva virgen extra,"Avenida España, 119, 12400 Segorbe, Castellón","Productor local de aceite de oliva virgen extra en la provincia de Castellón, incorporado desde el directorio oficial Castelló Ruta de Sabor.",Consultar web,964713335,,https://segorbenostrum.es/,,,https://www.google.com/maps/search/?api=1&query=Aceite%20Enverde%2C%20Av.%20Espa%C3%B1a%2C%20119%2C%2012400%20Segorbe%2C%20Castell%C3%B3n&query_place_id=ChIJP26KoQR7YA0Ru503VKcGM3U,39.84709910000001,-0.4898911,2026-05-07,
aceites-lo-caneta-canet-lo-roig,Aceites Lo Canetà,Canet lo Roig,Aceite,Aceite de oliva,"Canet lo Roig, Castellón","Productor local de aceite de oliva en la provincia de Castellón, incorporado desde el directorio oficial Castelló Ruta de Sabor.",Consultar web,619247558,,,,,https://www.google.com/maps/search/?api=1&query=Aceites%20Lo%20Canet%C3%A0%2C%20Calle%20Dr.%20Clara%2C%2022%2C%2012350%20Canet%20lo%20Roig%2C%20Castell%C3%B3n&query_place_id=ChIJa3uVyj1noBIRKercFR0Xewg,40.55162,0.24314,2026-05-07,
agua-de-bejis-bejis,Agua de Bejís,Bejís,Agua mineral natural,Agua mineral natural,"Bejís, Castellón","Productor local de agua mineral natural en la provincia de Castellón, incorporado desde el directorio oficial Castelló Ruta de Sabor.",Consultar web,964 764 165,,,,,https://www.google.com/maps/search/?api=1&query=Agua%20de%20Bej%C3%ADs%2C%20Partida%20Los%20Cloticos%2C%20S%2FN%2C%2012430%20Beg%C3%ADs%2C%20Castell%C3%B3&query_place_id=ChIJ2ZUhWJqDYA0Ra4s63iJiYu0,39.9243361,-0.7330206,2026-05-07,
agua-de-l-avella-cati,Agua de L'Avellà,Catí,Agua mineral natural,Agua mineral natural,"Catí, Castellón","Productor local de agua mineral natural en la provincia de Castellón, incorporado desde el directorio oficial Castelló Ruta de Sabor.",Consultar web,964 409 081,,,,,https://www.google.com/maps/search/?api=1&query=Agua%20de%20L'Avell%C3%A0%2C%20Carrer%20Major%2C%2012513%20Cat%C3%AD%2C%20Castell%C3%B3&query_place_id=ChIJAQAAEIp3oBIR_sLlswWdXI8,40.5017574,0.0007863999999999999,2026-05-07,
agua-de-benassal-benassal,Agua de Benassal,Benassal,Agua mineral natural,Agua mineral natural,"Partida Nevera s/n, 12160 Benassal, Castellón","Productor local de agua mineral natural en la provincia de Castellón, incorporado desde el directorio oficial Castelló Ruta de Sabor.",Consultar web,964 431 014,,http://aguabenassal.com/,,https://www.instagram.com/aguabenassal/,https://www.google.com/maps/search/?api=1&query=Agua%20de%20Benassal%2C%20LLOC%20BALNEARIO%2C%20Av.%20Fuente%20en%20Segures%2C%201%2C%2012160%20Font%20d'en%20Segures%2C%20Castell%C3%B3n&query_place_id=ChIJTRnXeh-SXw0RpjehywrkDEI,40.36860739999999,-0.1365258,2026-05-07,
cafes-b-o-benicarlo,Cafés B+o,Benicarló,Café,Café tostado,"Benicarló, Castellón","Productor local de café tostado en la provincia de Castellón, incorporado desde el directorio oficial Castelló Ruta de Sabor.",Consultar web,964 470 489,,,,,https://www.google.com/maps/search/?api=1&query=Caf%C3%A9s%20B%2Bo%2C%20Pol.%20Ind%20Mercado%20de%20Abastos%20Nave%2027%2C%2012580%20Benicarl%C3%B3%2C%20Castell%C3%B3n&query_place_id=ChIJUR_-o7pFoBIRYnlXYLLaqQg,40.4344706,0.4013315,2026-05-07,
embutidos-ferreres-xert,Embutidos Ferreres,Xert,Carnes y embutidos,Embutidos artesanos,"Plaça Nova, 5, 12360 Xert, Castellón","Productor local de embutidos artesanos en la provincia de Castellón, incorporado desde Castelló Ruta de Sabor y web propia.",Consultar web,698 97 54 42,pedidos@embutidosferreres.com,https://embutidosferreres.com/,,https://www.instagram.com/embutidosferreres/,https://www.google.com/maps/search/?api=1&query=Embutidos%20Ferreres%2C%20Carrrer%20de%20Sant%20Vicent%2C%2034%2C%2012360%20Xert%2C%20Castell%C3%B3&query_place_id=ChIJSxxCsdBkoBIR71N7KeMf6Lw,40.5180732,0.1580257,2026-05-07,
porcellet-traiguera,Porcellet,Traiguera,Carnes y embutidos,Carne de cerdo y embutidos,"Calle San Cristóbal, 11, 12330 Traiguera, Castellón","Productor local de carne de cerdo y embutidos en la provincia de Castellón, incorporado desde el directorio oficial Castelló Ruta de Sabor.",Consultar web,675148872,,http://www.porcellet.es,,https://www.instagram.com/porcellet_/,https://www.google.com/maps/search/?api=1&query=Porcellet%2C%20Carrer%20de%20Sant%20Crist%C3%B2fol%2C%2011%2C%2012330%20Traiguera%2C%20Castell%C3%B3&query_place_id=ChIJL39_AHBnoBIR1NTGTFBy9rY,40.523742,0.2893679,2026-05-07,
