slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,fecha_revision,imagen
el-corral-del-tio-nicasio-castejon-de-valdejasa,El Corral del Tío Nicasio,Castejón de Valdejasa,Vino y conservas,vinos y escabechados,"Pl. Vieja, 45, Castejón de Valdejasa","Obrador y bodega familiar con vinos, escabechados y visitas a viñedos centenarios en Cinco Villas.",Consultar visitas,976686541,,https://tionicasio.com/,,https://www.instagram.com/tionicasio,https://www.google.com/maps/search/?api=1&query=T%C3%ADo%20Nicasio%2C%20Pl.%20Vieja%2C%2045%2C%2050612%20Castej%C3%B3n%20de%20Valdejasa%2C%20Zaragoza%2C%20Espa%C3%B1a&query_place_id=ChIJ42soyJKdWQ0RenH-ORInfqI,41.9825093,-0.9914168999999999,2026-05-08,
apicola-cinco-villas-ejea-de-los-caballeros,Apícola Cinco Villas,Ejea de los Caballeros,Miel,miel y productos apícolas,"Pº Bañera, s/n, Ejea de los Caballeros","Proyecto apícola con colmenas, obrador, aula de abejas y tienda de productos vinculados a la miel.",Consultar visitas,652092394,,https://www.apicolacincovillas.com/,,https://www.instagram.com/apicolacincovillas,https://www.google.com/maps/search/?api=1&query=Ap%C3%ADcola%20Cinco%20Villas%2C%20Miel%20del%20Prepirineo%2C%20MUSEO%20DE%20LA%20MIEL%2C%20P.%C2%BA%20de%20la%20Ba%C3%B1era%2C%2050600%20Ejea%20de%20los%20Caballeros%2C%20Zaragoza%2C%20Espa%C3%B1a&query_place_id=ChIJnyV0HfaLWQ0R_IeDPdUxh1Q,42.1314572,-1.1406064,2026-05-08,/productores/zaragoza/apicola-cinco-villas-ejea-de-los-caballeros.jpg
nueces-ramon-puyod-ejea-de-los-caballeros,Nueces Ramón Puyod,Ejea de los Caballeros,Frutos secos,nueces,Ejea de los Caballeros,"Productor local de nueces con visita de campo en floración y temporada de fruto, degustación y venta directa.",Consultar visitas,629302225,nueces@ramonpuyod.es,https://www.nuecesdeejearamonpuyod.es/,https://www.facebook.com/profile.php?id=100035059916270,https://www.instagram.com/nuecesramonpuyod,,,,2026-05-08,
queseria-de-biota-biota,Quesería de Biota,Biota,Quesos y lácteos,queso y yogur de oveja,"C/ Fernando el Católico, 37, Biota","Quesería de oveja con sala de ordeño, elaboración de queso y yogur, tienda propia y degustaciones.",Consultar visitas,675638638,laqueseriadebiota@gmail.com,https://laqueseriadebiota.es/,,https://www.instagram.com/laqueseriadebiota,https://www.google.com/maps/search/?api=1&query=La%20Queser%C3%ADa%20de%20Biota%2C%20C.%20Fernando%20el%20Cat%C3%B3lico%2C%2037%2C%2050695%20Biota%2C%20Zaragoza%2C%20Espa%C3%B1a&query_place_id=ChIJG0vNae71WQ0R37qu3jOKK6Y,42.2606511,-1.1875006,2026-05-08,
panaderia-julio-y-yolanda-sadaba,Panadería Julio y Yolanda,Sádaba,Panadería y repostería,tortas de manteca y repostería local,"Barrio Verde Bajo, 30, Sádaba","Panadería de Sádaba con repostería tradicional como tortas de manteca, doblericos, mantecados y magdalenas.",Consultar visitas,976675088,,,,,https://www.google.com/maps/search/?api=1&query=PANADER%C3%8DA-REPOSTER%C3%8DA%20Julio%20y%20Yolanda.%2C%20Bo.%20Verde%20Bajo%2C%2030%2C%2050670%20S%C3%A1daba%2C%20Zaragoza%2C%20Espa%C3%B1a&query_place_id=ChIJQyN1dMMeWg0RdVSIqcYC198,42.2806246,-1.2737023,2026-05-08,
molino-ecotambo-sadaba,Molino Ecotambo,Sádaba,Harinas y cereales,harina ecológica de trigo y espelta,"C/ Xinto, 1, Sádaba","Proyecto familiar de agricultura ecológica que cultiva, selecciona y produce harina de trigo y espelta.",Consultar visitas,645251986,,https://www.molinoecotambo.es/,,https://www.instagram.com/molinoecotambo,https://www.google.com/maps/search/?api=1&query=Molino%20Ecotambo%2C%20Carretera%20S%C3%A1daba-Ayerbe%2C%20s%2Fn%2C%2050670%20S%C3%A1daba%2C%20Zaragoza%2C%20Espa%C3%B1a&query_place_id=ChIJ33x3DcIfWg0Rnzh_Aqtp4qw,42.2895197,-1.2673964,2026-05-08,
las-cardelinas-pinsoro,Las Cardelinas,Pinsoro,Huerta,fruta y verdura de temporada,"Plaza Nueva, 17, Pinsoro","Productor agrícola de Pinsoro con visita de campo, exposición de estacionalidad y venta de fruta o verdura propia.",Consultar visitas,690369925,,,,,https://www.google.com/maps/search/?api=1&query=Las%20Cardelinas%2C%20Pl.%20Nueva%2C%2017%2C%2050694%20Pinsoro%2C%20Zaragoza%2C%20Espa%C3%B1a&query_place_id=ChIJY9TmuPoiWg0RF1KnnAlPFjE,42.1977858,-1.3364642,2026-05-08,
bodegas-ruberte-magallon,Bodegas Ruberte,Magallón,Bodega,"vino, cava y licores","C/ Arrialdes, s/n, Magallón","Bodega artesanal de Magallón con elaboración de vinos, licores y cava y visita a cavas subterráneas.",Consultar visitas,976858106,,https://bodegasfamiliaruberte.com/,,https://www.instagram.com/bodegasruberte,https://www.google.com/maps/search/?api=1&query=Bodegas%20Ruberte%20S.L.%2C%20C.%20Arrialdes%2C%2050520%20Magall%C3%B3n%2C%20Zaragoza%2C%20Espa%C3%B1a&query_place_id=ChIJeW_Q7uHLWw0RIbDrT-QVBXc,41.831817,-1.457404,2026-05-08,
bodegas-aragonesas-fuendejalon,Bodegas Aragonesas,Fuendejalón,Bodega,vinos de garnacha,"Carretera de Magallón a la Almunia, s/n, Fuendejalón","Bodega del Campo de Borja con garnachas centenarias, espacio Terroir-Garnacha y visitas con degustación.",Consultar visitas,650376519,enoturismo@bodegasaragonesas.com,https://www.bodegasaragonesas.com/,,https://www.instagram.com/bodegasaragonesas,https://www.google.com/maps/search/?api=1&query=Bodegas%20Aragonesas%2C%20Carr.%20de%20Magall%C3%B3n%20a%20la%20Almunia%2C%20S%2FN%2C%2050529%20Fuendejal%C3%B3n%2C%20Zaragoza%2C%20Espa%C3%B1a&query_place_id=ChIJkfCbQoTIWw0Rmcypcpq0zSQ,41.7619063,-1.4753843,2026-05-08,
conservas-lores-bureta,Conservas Lorés,Bureta,Conservas,"espárrago, piquillo y verduras","C/ Goya, 8, Bureta","Fábrica familiar de conservas artesanales fundada en 1965, especializada en verduras y elaboraciones manuales.",Consultar visitas,976852477,,https://www.conservaslores.com/,,,https://www.google.com/maps/search/?api=1&query=Conservas%20Lores%2C%20C.%20Goya%2C%208%2C%20LOC%2C%2050547%20Bureta%2C%20Zaragoza%2C%20Espa%C3%B1a&query_place_id=ChIJv6cK05vJWw0RlKLKyCa8khM,41.8160951,-1.489323,2026-05-08,
oliambel-bulbuente,Oliambel,Bulbuente,Aceite,aceite de oliva virgen extra,"Ctra. Nacional 122, km 70,1, Bulbuente","Empresa oleícola familiar del Moncayo con almazara, catas de aceite y visitas a olivos centenarios.",Consultar visitas,976852121,,https://www.oliambel.com/,,,https://www.google.com/maps/search/?api=1&query=Oliambel%2C%20N-122%2C%20Km%2070%2C%20100%2C%2050546%20Bulbuente%2C%20Zaragoza%2C%20Espa%C3%B1a&query_place_id=ChIJ8zi1rVqxWw0RmkZOCyXtJnw,41.8194272,-1.6087447,2026-05-08,
diamante-negro-del-moncayo-vera-del-moncayo,Diamante Negro del Moncayo,Vera del Moncayo,Trufa y setas,trufa negra,Vera del Moncayo,Empresa trufera que recolecta trufa negra silvestre y de plantaciones propias con actividades de campo.,Consultar visitas,691023232,,https://eldiamantenegrodelmoncayo.com/,,https://www.instagram.com/eldiamantenegrodelmoncayo,https://www.google.com/maps/search/?api=1&query=El%20diamante%20negro%20del%20Moncayo%2C%20C.%20Esparras%2C%2020%2C%2050580%20Vera%20de%20Moncayo%2C%20Zaragoza%2C%20Espa%C3%B1a&query_place_id=ChIJ5ylhc0evWw0R4jErpPWBuwo,41.823979,-1.6875453,2026-05-08,
panaderia-sin-gluten-el-trasmozero-trasmoz,Panadería sin gluten El Trasmozero,Trasmoz,Panadería y repostería,pan y repostería sin gluten,"C/ San Miguel, 16, Pta 1, Trasmoz","Obrador de panadería sin gluten con talleres de pan, repostería con producto local y catas de pan.",Consultar visitas,618907466,,https://eltrasmozero.com/,,,https://www.google.com/maps/search/?api=1&query=EL%20TRASMOZERO%2C%20Calle%20San%20Miguel%2C%2016%20pl%201%2C%2050583%20Trasmoz%2C%20Zaragoza%2C%20Espa%C3%B1a&query_place_id=ChIJkRE_boKuWw0RIzLaPqP7yRs,41.826749,-1.7222162,2026-05-08,
aceite-agustin-fornos-trasmoz,Aceite Agustín Fornós,Trasmoz,Aceite,aceite de oliva virgen extra,"Molino Agustín Fornós, Monasterio de Veruela, 7, Trasmoz",Productor y envasador de aceite de oliva virgen extra de olivos milenarios en el entorno del Moncayo.,Consultar visitas,609631286,,https://olivavirgenextra.eu/,,,https://www.google.com/maps/search/?api=1&query=Oliva%20Virgen%20Extra%20Agust%C3%ADn%20Forn%C3%B3s%2C%20Calle%20Monasterio%20de%20Veruela%2C%207%2C%2050583%20Trasmoz%2C%20Zaragoza%2C%20Espa%C3%B1a&query_place_id=ChIJS7v8xIKuWw0R-tHOV2xckJM,41.825548,-1.7238901,2026-05-08,
avicola-torre-jirauta-penaflor-de-gallego,Avícola Torre Jirauta,Peñaflor de Gállego,Huevos,huevos ecológicos,"Camino Plan de En medio, s/n, Peñaflor de Gállego",Empresa familiar de avicultura ecológica dedicada exclusivamente a huevos de gallinas camperas certificadas.,Consultar visitas,685161339,,https://torrejirauta.com/,,,https://www.google.com/maps/search/?api=1&query=Torre%20Jirauta%2C%20Camino%20Plan%20de%20Enmedio%2C%20S%2FN%2C%2050193%20Pe%C3%B1aflor%20de%20G%C3%A1llego%2C%20Zaragoza%2C%20Espa%C3%B1a&query_place_id=ChIJQyMX3zAPWQ0R-9uGzREQcOo,41.7612114,-0.796781,2026-05-08,/productores/zaragoza/avicola-torre-jirauta-penaflor-de-gallego.jpg
melada-huerta-saludable-movera,Melada huerta saludable,Movera,Huerta,hortaliza ecológica y conservas,"Camino la Cenia, 201-D, Movera",Unidad de producción hortícola ecológica de la huerta de Movera con obrador de conservas artesanales.,Consultar visitas,649623717,,,https://www.facebook.com/profile.php?id=100063806520345,,https://www.google.com/maps/search/?api=1&query=Espacio%20Melada%2C%20Camino%20de%20la%20cenia%2C%20201%20dpdo%2C%2050194%20Zaragoza%2C%20Espa%C3%B1a&query_place_id=ChIJCxVhf88VWQ0RieTjvAYbFkI,41.662454,-0.8312796,2026-05-08,
