slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,fecha_revision,imagen
cal-garrigosa-abrera,Cal Garrigosa,Abrera,Bodega,"Vino tinto, Vino blanco","Carrer Rebato, 70, 08630 Abrera",Celler de tradició familiar situat a Abrera,Lun–Sáb; Dom 08:00–14:00 y Dom 16:30–21:00,937 700 382,,https://www.parcruraldelmontserrat.cat/ca/producte-km0/cellers/pln311/prova,,https://www.instagram.com/calgarrigosa/,https://www.google.com/maps/search/?api=1&query=Cal%20Garrigosa&query_place_id=ChIJmVpQweuLpBIR3KYZnjCkocE,41.5218209,1.8938055,,
alella-vinicola-celler-marfil-alella,Alella Vinícola (Celler Marfil),Alella,Bodega,"Vino blanco DO Alella, Vino tinto DO Alella","Carrer Riera Fosca, 28, 08328 Alella","Bodega histórica fundada en 1906, productora de los vinos Marfil y Ivori. Visitas y enoturismo.",Lun–Sáb 09:15–14:00 y 17:00–21:00; Dom 09:15–15:00,935 400 341,celler@alellavinicola.com,https://www.alellavinicola.com/,,https://www.instagram.com/alellamarfil1906/,https://www.google.com/maps/search/?api=1&query=Vinicola%20MARFIL%20Alella&query_place_id=ChIJ1fnBuAO6pBIRZmH5cJ_9Xgw,41.4931564,2.2932962,,
bouquet-dalella-alella,Bouquet d'Alella,Alella,Bodega,"Vino blanco DO Alella, Vino tinto DO Alella","Carrer Sant Josep de Calassanç, 8, 08328 Alella",Celler familiar situat en una masia del s.XIV envoltat de vinyes. Vins ecològics i experiències enoturístiques.,Sáb y Dom 10:00–14:00 (visites),935 556 997,enoturisme@bouquetdalella.com,https://bouquetdalella.com,https://www.facebook.com/bouquetdalella/,https://www.instagram.com/bouquet_alella/,https://www.google.com/maps/search/?api=1&query=Bouquet%20d'Alella&query_place_id=ChIJM4Ka9gG6pBIRnKFbJU7RWDY,41.4972226,2.2971198,,
vinyes-dolivardots-sl-alella,"Vinyes d'Olivardots, SL",Alella,Bodega,"Vino tinto, Aceite de oliva","Paratge Olivardots, s/n, 17750 Capmany (sede social: Alella)","Celler familiar DO Empordà. Carme i Carlota, enòlogues i viticultores. Viticultura ecològica i biodinàmica amb varietats autòctones.",,650 395 627,vdo@olivardots.com,https://olivardots.com,,https://www.instagram.com/vinyesdolivardots/,https://www.google.com/maps/search/?api=1&query=Vinyes%20d'Olivardots&query_place_id=ChIJq3eLg8qauhIRe-G3HPRoxBI,41.4919653,2.2940817,,
celler-talcomraja-arenys-de-munt,Celler Talcomraja,Arenys de Munt,Bodega,"Vino tinto, Vino blanco","Rial Pasqual, 45, 08358 Arenys de Munt",,,617 617 180,info@talcomraja.com,https://talcomraja.com,https://www.facebook.com/p/Celler-Talcomraja-100063616296635/,https://www.instagram.com/cellertalcomraja/,https://www.google.com/maps/search/?api=1&query=Talcomraja%20-%20Celler%20de%20vi%20natural&query_place_id=ChIJz7j8UHk2uxIRZmsNH5Ko3vY,41.6075666,2.5441275,,
munich-arranz-joan-arenys-de-munt,"Munich Arranz, Joan",Arenys de Munt,Bodega,"Vins, caves i vinagres","Carrer Rial Pascual, 45, 08358 Arenys de Munt","Munich Arranz, Joan es un celler de Arenys de Munt con producción de Vins, caves i vinagres con venta directa.",,617617180,info@talcomraja.com,,,,https://www.google.com/maps/search/?api=1&query=AraMarcs&query_place_id=ChIJLe0FEX82uxIRJxKzgeW39ek,4.1609797,2.5412623,,
celler-castane-argentona,Celler Castañé,Argentona,Bodega,"Vino tinto, Vino blanco","Carrer Sant Genís, 1, 08310 Argentona",Botiga especialitzada en vins naturals; tastos i activitats.,Mar–Vie 09:30–13:30 y 17:30–20:30; Sáb 09:30–14:00; Dom 10:00–14:30; Lun cerrado,937 971 106 / 618 110 168,cellercastane@gmail.com,https://www.cellercastane.es/,,https://www.instagram.com/cellercastane/,https://www.google.com/maps/search/?api=1&query=CELLER%20CASTA%C3%91%C3%89%20%7C%20Vins%20naturals%20%F0%9F%93%8DMaresme&query_place_id=ChIJa4Dn57-1pBIRpGctjVI-rKQ,41.5556232,0.2402247,,
caves-gibert-artes,Caves Gibert,Artés,Bodega,"Cava, Vino tinto","Carrer Doctor Farrer Solervicens, 10, 08271 Artés",,"09:00 AM – 01:00 PM, 03:00 – 08:00",938 305 008,cavagibert@cavagibert.com,https://cavagibert.com,,https://www.instagram.com/cavesgibert/,https://www.google.com/maps/search/?api=1&query=Caves%20Gibert&query_place_id=ChIJRzDBQxv7pBIRGElfohbbYy8,41.7982332,1.9545049,,
celler-cooperatiu-dartes-artium-artes,Celler Cooperatiu d’Artés (Artium),Artés,Bodega,"Vino tinto, Vino blanco","Carrer Rocafort, 44, 08271 Artés",,"09:00 AM – 02:00 PM, 05:00 – 09:00",938 305 325,artium@cavesartium.com,https://cavesartium.com,https://www.facebook.com/cavesartium/,https://www.instagram.com/cavesartium/,https://www.google.com/maps/search/?api=1&query=Espai%20Artium%20-%20Celler%20Cooperatiu%20d'Art%C3%A9s&query_place_id=ChIJ0wYXyqf7pBIRcGrHsKLRJOo,41.7971522,1.9516056,,
celler-solergibert-artes,Celler Solergibert,Artés,Bodega,"Vino tinto, Vino blanco","Carrer Barquera, 40, 08271 Artés",,"09:00 AM – 01:00 PM, 05:00 – 08:00",938 305 084,josep@cellersolergibert.com,https://www.cellersolergibert.com,https://www.facebook.com/AxiomThemes,https://www.instagram.com/cellersolergibert/,https://www.google.com/maps/search/?api=1&query=Celler%20Solergibert&query_place_id=ChIJjdOevA77pBIRaH-RZFhIiPs,41.7980181,1.9547933,,
