slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen,verificacion,Venta online,Canal de venta,categorias adicionales
almalech,Almalech,Salillas,Aceite,aceite de oliva virgen extra,"Plaza Santa Ana, 7, 22110 Salillas, Huesca",Finca y almazara de Salillas que cultiva arbequina propia y elabora y envasa aceite de oliva virgen extra.,Consultar web,+34683456824,almalech@almalech.es,https://almalech.es,,,https://www.google.com/maps/search/?api=1&query=Finca%20Almalech%20-%20Salillas%20(Grupo%20Mazana)%2C%2022110%20Salillas%2C%20Huesca%2C%20Espa%C3%B1a&query_place_id=ChIJgXRvEAB9WA0RrT34IWegFYE,41.9758491,-0.1493506,/productores/es/aragon/huesca/almalech.webp,verificado,sí,ecommerce,
aceites-noguero,Aceites Noguero,Barbastro,Aceite,aceite de oliva virgen extra,"Pol. Ind. Valle del Cinca, 15-32, 22300 Barbastro, Huesca",Almazara familiar de Barbastro que elabora y envasa AOVE Somontano con aceitunas propias y de productores de la provincia.,Consultar web,+34974311648,info@noguerosomontano.com,https://noguerosomontano.com,,https://www.instagram.com/aceitesnoguerosomontano,https://www.google.com/maps/search/?api=1&query=Aceites%20Noguero%2C%20Pol.%20Ind.%20Valle%20del%20Cinca%2C%2032%2C%2022300%20Barbastro%2C%20Huesca%2C%20Espa%C3%B1a&query_place_id=ChIJy-iisJiEpxIRvJgTotIwsjY,42.0040626,0.1296734,/productores/es/aragon/huesca/aceites-noguero.webp,verificado,sí,ecommerce,
aceites-palacio,Aceites Palacio,Alberuela de Tubo,Aceite,aceite de oliva virgen extra,"C. San Lorenzo, 1, 22212 Alberuela de Tubo, Huesca",Almazara familiar de Alberuela de Tubo que elabora aceite de oliva virgen extra de Los Monegros desde varias generaciones.,Consultar web,+34974395050,aceitespalacio@aceitespalacio.com,https://www.aceitespalacio.com,,https://www.instagram.com/aceitespalacio,https://www.google.com/maps/search/?api=1&query=Aceites%20Palacio%2C%20C.%20San%20Lorenzo%2C%201%2C%2022212%20Alberuela%20de%20Tubo%2C%20Huesca%2C%20Espa%C3%B1a&query_place_id=ChIJBaN63e-JWA0ROBk1MzYJaSs,41.908246,-0.214615,/productores/es/aragon/huesca/aceites-palacio.webp,verificado,sí,ecommerce,
aceites-satue,Aceites Satué,Algayón,Aceite,aceite de oliva virgen extra,"C. Tamarite, 22559 Algayón, Huesca",Almazara de Algayón con más de 50 años de experiencia en la elaboración de aceite de oliva virgen extra.,Consultar web,+34974424075,info@aceitessatue.com,https://www.aceitessatue.com,,,https://www.google.com/maps/search/?api=1&query=Aceites%20Satu%C3%A9%2C%20C.%20Tamarite%2C%2022559%20Algay%C3%B3n%2C%20Huesca%2C%20Espa%C3%B1a&query_place_id=ChIJjzMVMKkOpxIRtyVACO0BmgY,41.835689,0.380203,/productores/es/aragon/huesca/aceites-satue.webp,verificado,sí,ecommerce,
flor-de-sal-shio,Flor de sal & Shio,Alcolea de Cinca,Aceite,aceite de oliva virgen extra,"Av. del Sol, 1, 22410 Alcolea de Cinca, Huesca",Finca y almazara de Alcolea de Cinca que cultiva arbequina y elabora AOVE Flor de Sal y Shio.,Consultar web,+34667219606,flordesal@aceiteflordesal.com,https://aceiteflordesal.com,,,https://www.google.com/maps/search/?api=1&query=ACEITE%20FLOR%20DE%20SAL%20%26%20SHIO%2C%20Av.%20del%20Sol%2C%201%2C%2022410%20Alcolea%20de%20Cinca%2C%20Huesca%2C%20Espa%C3%B1a&query_place_id=ChIJT7PCEVVlpxIRRbEYd6s1VsE,41.7227928,0.1149631,,verificado,sí,ecommerce,
ecostean,Ecostean,Costean,Aceite,aceite de oliva virgen extra ecológico,"Pl. Portal, 11, 22312 Costean, Huesca","Almazara de Costean que elabora AOVE del Somontano, incluido aceite ecológico y condimentado.",Consultar web,+34974110761,tienda@ecostean.com,https://ecostean.com/,,,https://www.google.com/maps/search/?api=1&query=ECOSTEAN%2C%20Pl.%20Portal%2C%2011%2C%2022312%20Costean%2C%20Huesca%2C%20Espa%C3%B1a&query_place_id=ChIJpRKOWPaPpxIRQqRE7bVqsZU,42.0883389,0.1790768,/productores/es/aragon/huesca/ecostean.webp,verificado,sí,ecommerce,
molino-de-bolea,Molino de Bolea,Bolea,Aceite,aceite de oliva virgen extra,"C. Carretera, 2, 22160 Bolea, Huesca",Almazara familiar de Bolea que moltura aceituna y elabora y embotella AOVE desde 1940.,Consultar web,+34606895605,info@aceitedebolea.es,https://tienda.aceitedebolea.es/,,,https://www.google.com/maps/search/?api=1&query=Molino%20de%20Olivas%20de%20Bolea%2C%20C.%20Carretera%2C%202%2C%2022160%20Bolea%2C%20Huesca%2C%20Espa%C3%B1a&query_place_id=ChIJyT32X6M1WA0RLeF5YNTSC3s,42.259556,-0.555281,,verificado,sí,ecommerce,
azafran-de-sobrarbe,Azafrán de Sobrarbe,Laspuña,Condimentos,azafrán artesano,"C/ Única, s/n, Ceresa, Laspuña",Proyecto familiar de Ceresa que cultiva y elabora azafrán artesano del Pirineo oscense.,Consultar web,+34638712936,info@azafrandesobrarbe.com,,,,,42.5076,0.1785,,parcial,no comprobado,,
eboca,Eboca,Cuarte,Café,café de tueste y vending de proximidad,"Autovía Zaragoza - Huesca Km. 356, 22197 Cuarte, Huesca",Tostadero de Cuarte que tuesta café de especialidad ecológico y de comercio justo para venta y servicios de café.,Consultar web,+34900200098,eboca@eboca.com,https://eboca.com/,,,https://www.google.com/maps/search/?api=1&query=Eboca%2C%20Autov%C3%ADa%20Zaragoza%20-%20Huesca%20Km.%20356%2C%2022197%20Cuarte%2C%20Huesca%2C%20Espa%C3%B1a&query_place_id=ChIJvclDDnlFWA0RXxxxz9ZednE,42.1131477,-0.4433999,,verificado,sí,ecommerce|suscripcion,
carnicas-ferrer,Cárnicas Ferrer,Huesca,Carne,derivados cárnicos y platos preparados,"Rda. Salas, 1, 22005 Huesca",Fábrica familiar de Huesca que elabora embutidos y productos cárnicos de quinta gama con sello de Artesanía Alimentaria de Aragón.,Consultar web,+34607971036,carnicasferrer@carnicasferrer.com,https://www.carnicasferrer.com,,,https://www.google.com/maps/search/?api=1&query=C%C3%A1rnicas%20Andr%C3%A9s%20Ferrer%20e%20Hijos%2C%20Rda.%20Salas%2C%201%2C%2022005%20Huesca%2C%20Espa%C3%B1a&query_place_id=ChIJYZUGkThEWA0RU5u-h9kbKvs,42.1376794,-0.4001199,/productores/es/aragon/huesca/carnicas-ferrer.webp,verificado,sí,ecommerce,
elaborados-julian-mairal,Elaborados Julián Mairal,Barbastro,Carne,elaborados cárnicos artesanos,"Av. Pirineos, 67, 22300 Barbastro, Huesca","Fabricante familiar de Barbastro que elabora jamones, embutidos, loncheados y especialidades cárnicas desde 1958.",Consultar web,+34974311323,info@julianmairal.com,https://www.julianmairal.es,,https://www.instagram.com/julian_mairal,https://www.google.com/maps/search/?api=1&query=Juli%C3%A1n%20Mairal%20S.L%2C%20C.%20Adahuesca%2C%2022300%20Barbastro%2C%20Huesca%2C%20Espa%C3%B1a&query_place_id=ChIJr8_ENiGFpxIRKqmdlyJXcU4,42.044178,0.13662,/productores/es/aragon/huesca/elaborados-julian-mairal.webp,verificado,sí,ecommerce,
ternera-valle-de-aisa,Ternera Valle de Aisa,Aísa,Carne,ternera del Pirineo,"C/ Hortazo, s/n, 22860 Aísa, Huesca",Ganadería familiar de Aísa que cría ternera parda de montaña y comercializa directamente su carne y elaborados.,Consultar web,+34620609357,contacto@terneravalledeaisa.es,https://www.terneravalledeaisa.es,,https://www.instagram.com/ternera_valle_de_aisa,,42.68278,-0.61694,/productores/es/aragon/huesca/ternera-valle-de-aisa.webp,verificado,sí,ecommerce,
pearlcherries,Pearlcherries,Albalate de Cinca,Fruta y verdura,cerezas,"Calle Ctra. de Belver, 14, 22534 Albalate de Cinca, Huesca",Productor de cerezas de Albalate de Cinca asociado a Huesca Alimentaria; su web actual no publica información comercial verificable.,Consultar web,+34630870755,jdepablocamarasa@gmail.com,,,,https://www.google.com/maps/search/?api=1&query=Pearlcherries%2C%20Calle%20Ctra.%20de%20Belver%2C%2014%2C%2022534%20Albalate%20de%20Cinca%2C%20Huesca%2C%20Espa%C3%B1a&query_place_id=ChIJt-VFi4BvpxIRTyCJsinz08g,41.72186869999999,0.1463711,,parcial,no comprobado,,
casa-cansero,Casa Canseró,Tolva,Chocolate,chocolate artesano,"C/ Bailén, 8, 22585 Tolva, Huesca","Obrador familiar de Tolva que elabora chocolates, caramelos y frutos garrapiñados de forma artesana.",Consultar web,+34669905273,casacansero@gmail.com,,https://www.facebook.com/casacansero,,https://www.google.com/maps/search/?api=1&query=Chocolates%20Casa%20Canser%C3%B3%2C%20Calle%20Ctra.%20a%20Benabarre%2C%203%2C%2022585%20Tolva%2C%20Huesca%2C%20Espa%C3%B1a&query_place_id=ChIJDXgKclezpxIRkf6xUMXYH7U,42.11511309999999,0.5634996,,parcial,no comprobado,,
