producer_id,field,source_locale,source_hash,text,origin,engine,engine_version,prompt_version,glossary_version
2,descripcion,en,c08314810b5b054d3e0b17cb6aafabf241d6c72cccab0fe741ff125a74427e95,ಹೂಡಿ ಮತ್ತು ವೈಟ್‌ಫೀಲ್ಡ್‌ನಲ್ಲಿರುವ ಮೈಕ್ರೋಬ್ರೂವರಿಯು ತನ್ನ ಆವರಣದಲ್ಲಿ ಬಿಯರ್ ತಯಾರಿಸುತ್ತದೆ।,reviewed,codex-subagent,gpt-5.6-luna-2026-08-25,chisan-description-v10,2026-08-24.3
6,descripcion,en,14ce33f863cec7654ec14d747a04ae2163b0e02f0a41bc7e08b84a458d7da384,Ainmane Coffee & Specialty Foods ಮಡಿಕೇರಿಯಲ್ಲಿ ಕಾಫಿ ಉತ್ಪಾದಕ ಮತ್ತು ಕಾಫಿ ಹುರಿಯುವ ಘಟಕವಾಗಿ ಕಾಫಿ ತಯಾರಿಸುತ್ತದೆ।,reviewed,codex-subagent,gpt-5.6-luna-2026-08-25,chisan-description-v10,2026-08-24.3
10,descripcion,en,10d53ddeea851828b3923360718c2961ac8e5eae6dbe6125894652e3ad114086,"Amrut Distilleries 1948ರಲ್ಲಿ ಸ್ಥಾಪಿತವಾದ ಬೆಂಗಳೂರುದ ಡಿಸ್ಟಿಲರಿಯಾಗಿದ್ದು, ಮೊದಲ ಭಾರತೀಯ ಸಿಂಗಲ್ ಮಾಲ್ಟ್ ವಿಸ್ಕಿಯನ್ನು ಬಿಡುಗಡೆ ಮಾಡಿದ ಸಂಸ್ಥೆಯಾಗಿ ಪ್ರಸಿದ್ಧವಾಗಿದೆ।",reviewed,codex-subagent,gpt-5.6-luna-2026-08-25,chisan-description-v10,2026-08-24.3
13,descripcion,en,539a25950979112e3113cf8654d40148c525a5235cfdfd2a1217ef53eb65b05c,Arbor Brewing Company (ABC) ಬೆಂಗಳೂರಿನಲ್ಲಿ ಸ್ಥಳದಲ್ಲೇ ತಯಾರಿಸಿದ ಬಿಯರ್ ಉತ್ಪಾದಿಸುವ ಬ್ರೂವರಿಯಾಗಿದೆ।,reviewed,codex-subagent,gpt-5.6-luna-2026-08-25,chisan-description-v10,2026-08-24.3
26,descripcion,en,c85969af9f7b5b8ecd48019c0713e01d0ea498501391a5c89a8d0d7b8fd31053,ಬೆಂಗಳೂರು ದಕ್ಷಿಣದಲ್ಲಿ ಭಾರತೀಯವಾಗಿ ಬೆಳೆದ ದ್ರಾಕ್ಷಿಯಿಂದ ವೈನ್ ತಯಾರಿಸುವ ವೈನರಿ ಮತ್ತು ಸಂದರ್ಶಕರ ದ್ರಾಕ್ಷಿತೋಟವಾಗಿದೆ।,reviewed,codex-subagent,gpt-5.6-luna-2026-08-25,chisan-description-v10,2026-08-24.3
30,descripcion,en,4c48f48ec558be1317264dd4a133dc6de90993a995515b0f11e63706adeb7243,Byg Brewski Brewing Company ಬೆಂಗಳೂರಿನಲ್ಲಿ ಸ್ಥಳದಲ್ಲೇ ತಯಾರಿಸಿದ ಬಿಯರ್ ಉತ್ಪಾದಿಸುವ ಬ್ರೂವರಿಯಾಗಿದೆ।,reviewed,codex-subagent,gpt-5.6-luna-2026-08-25,chisan-description-v10,2026-08-24.3
33,descripcion,en,780b6054a312e5e02f1cee0d002f3b6c5e3976a94027628d26c3ca255a484fb0,CAMPCO (The Central Arecanut and Cocoa Marketing and Processing Co-operative) ಪುತ್ತೂರಿನಲ್ಲಿ ಚಾಕೊಲೇಟ್ ತಯಾರಿಸುವ ಸಂಸ್ಥೆಯಾಗಿದೆ।,reviewed,codex-subagent,gpt-5.6-luna-2026-08-25,chisan-description-v10,2026-08-24.3
65,descripcion,en,2c4008af345cf63d2feb1c8ab4f186f89c3123640723b7239de8d7cbe953f761,ನಂದಿ ಬೆಟ್ಟದ ದ್ರಾಕ್ಷಿತೋಟ ಮತ್ತು ವೈನರಿ ಸ್ಥಳದಲ್ಲಿ ಕೈಯಿಂದ ಕಟಾವು ಮಾಡಿದ ದ್ರಾಕ್ಷಿಯಿಂದ Grover Zampa ವೈನ್‌ಗಳನ್ನು ತಯಾರಿಸಲಾಗುತ್ತದೆ।,reviewed,codex-subagent,gpt-5.6-luna-2026-08-25,chisan-description-v10,2026-08-24.3
67,descripcion,en,2348585ee607330d7f3df8e421a7f5a65303a1196ce9b0d79220142b3949f184,ಕಂಬಿಹಳ್ಳಿಯಲ್ಲಿ ಕುಟುಂಬ ನಡೆಸುವ ಕಾಫಿ ತೋಟವು ಜೀವವೈವಿಧ್ಯಮಯ ನೆರಳಿನ ಮೇಲ್ಛಾವಣಿಯಡಿ ಕಾಫಿ ಬೆಳೆಸಿ ತನ್ನ ಬೀಜಗಳನ್ನು ಮಾರಾಟ ಮಾಡುತ್ತದೆ।,reviewed,codex-subagent,gpt-5.6-luna-2026-08-25,chisan-description-v10,2026-08-24.3
115,descripcion,en,54767242d13d273270f8936ef33caf402ba9b416f69489d6bd41be0823b59d9f,ಪೂರ್ವ ಬೆಂಗಳೂರಿನ ವರ್ತೂರಿನ ಗುಂಜೂರು ರಸ್ತೆಯಲ್ಲಿ ಸ್ಥಳದಲ್ಲೇ ಬಿಯರ್ ತಯಾರಿಸುವ ಕ್ರಾಫ್ಟ್ ಬ್ರೂವರಿ ಮತ್ತು ಟ್ಯಾಪ್‌ರೂಮ್ ಇದೆ।,reviewed,codex-subagent,gpt-5.6-luna-2026-08-25,chisan-description-v10,2026-08-24.3
161,descripcion,en,152753a01f8be908d9586224e0d59d6d3429e5cdc2cb80827740b0fa77289630,ಸರ್ಜಾಪುರ ರಸ್ತೆಯಲ್ಲಿ ಸ್ಥಳದಲ್ಲೇ ತಯಾರಿಸಿದ ಬಿಯರ್ ನೀಡುವ ಕ್ರಾಫ್ಟ್ ಬ್ರೂವರಿಯಾಗಿದೆ।,reviewed,codex-subagent,gpt-5.6-luna-2026-08-25,chisan-description-v10,2026-08-24.3
