slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen,verificacion,Venta online,Canal de venta,categorias adicionales,producer_id
bellarosa-wip-productions-pty-ltd,Bellarosa WIP Productions Pty Ltd,Mthatha,Otros,,"Umtata St, Mthatha, 5100, South Africa",,,+27786190378,,https://bellaproductions.co.za/,https://www.facebook.com/102336052260400,,,-31.58864,28.78902,,parcial,no comprobado,,,87
dalintlutha-legacy-butcheries,Dalintlutha Legacy Butcheries,Port St Johns,Carne,,433 Bridge St,,,+27475640115,,,https://www.facebook.com/157431517451201,,,-31.6218059,29.5420739,,parcial,no comprobado,,,223
ez-nora-north-end-butchery,Ez'nora North End Butchery,Mthatha,Carne,,1 Mzimba street northcrest mthatha,,,+27769568684,sthonga@gmail.com,,https://www.facebook.com/1573699232879648,,,-31.5558719,28.7793762,,pendiente,no comprobado,,,319
fountainlake,Fountainlake,Mthatha,Carne,,8 Gerald Spilken St,,,+27835664534,,,https://www.facebook.com/171405839672454,,,-31.6074883,28.797016,,parcial,no comprobado,,,342
imbali-butchery,Imbali Butchery,Libode,Carne,,,,,+27795083953,,,https://www.facebook.com/531363736962160,,,-31.5417429,29.0195136,,pendiente,no comprobado,,,421
jean-s-bakery-and-deli,Jean's Bakery and Deli,Mthatha,Pan y cereal,pan y productos de cereal,78 Wesley St,,,+27780675405,jean@spiderhosting.com,,https://www.facebook.com/837311106397163,,,-31.5909637,28.7768619,,parcial,no comprobado,,,439
kopano-butcher,Kopano Butcher,Mthatha,Carne,,72 Chief Nkwenkwezi Dr,,,+27475370060,,,https://www.facebook.com/1000296846720246,,,-31.61425,28.7409248,,parcial,no comprobado,,,481
mbuqe-park-butchery,Mbuqe Park Butchery,Mthatha,Carne,,2 Adolphus Tshaka Pl,,,+27475358267,,,https://www.facebook.com/864985966974547,,,-31.6048484,28.7923652,,pendiente,no comprobado,,,571
nkocie-s-cakes,Nkocie's Cakes,Mthatha,Pan y cereal,pan y productos de cereal,18 Callaway St,,,+27814473483,,,https://www.facebook.com/100806555077887,,,-31.5853391,28.7971498,,parcial,no comprobado,,,652
nkohla-butchery,Nkohla Butchery,Mthatha,Carne,,,,,+27475311163,,,https://www.facebook.com/310969779015449,,,-31.6204736,28.8010745,,pendiente,no comprobado,,,653
nzuzo-farming-pride,Nzuzo Farming Pride,Mthatha,Otros,,,,,+27787060139,,,https://www.facebook.com/755915931251692,,,-31.5767683,28.8100197,,parcial,no comprobado,,,665
obc-group,OBC Group,Mthatha,Carne,,"York Road, Mthatha, Jwacu Gadi Centre, Eastern Cape",,,+27861622622,,,https://www.facebook.com/114194761748232,,,-31.61201,28.73374,,parcial,no comprobado,,,669
s-a-breweries-mthatha,S A Breweries Mthatha,Mthatha,Cerveza,,11 Timber St,,,,,,https://www.facebook.com/176060042519182,,,-31.6046237,28.7761886,,parcial,no comprobado,,,773
sajonisi-chickens,Sajonisi Chickens,Port Saint John’s,Carne,,"967 The Gap Road, Mthumbane Rd",,,+27734689224,siya.sacoyi@yahoo.com,https://www.google.com/search?q=sajonisi+chickens&oq=sajonisi&aqs=chrome.4.69i60l2j69i57j69i61j35i39j0i512j0i30j69i60.7231j0j7&client=ms-android-samsung-ss&sourceid=chrome-mobile&ie=UTF-8,https://www.facebook.com/109129118238792,,,-31.6466862,29.5287305,,parcial,no comprobado,,,780
sebz-poultry-and-projects,Sebz Poultry and Projects,Mthatha,Carne,,"Mthatha, Eastern Cape, South Africa",,,+27722639051,,,https://www.facebook.com/100694109200762,,,-31.59213,28.78843,,parcial,no comprobado,,,794
sikunye-bakery-umtata-eastern-cape,"Sikunye Bakery UMTATA, Eastern Cape",Umtata,Pan y cereal,pan y productos de cereal,Mpangelo Rd,,,+27475370092,,,https://www.facebook.com/864549390317857,,,-31.628103,28.7420081,,parcial,no comprobado,,,816
tasty-confectionery,Tasty Confectionery,Mthatha,Pan y cereal,pan y productos de cereal,"Matiwane View, 11 Nduli Cres",,,+27838562821,tsvabaza@gmail.com,,https://www.facebook.com/289226641186755,,,-31.5925994,28.7633358,,parcial,no comprobado,,,882
varsity-butchery-and-braai,Varsity Butchery and Braai,Ingquza Hill,Carne,,2 Jacaranda St,,,+27723333000,info@varsityculture.co.za,http://www.varsityculture.co.za/,https://www.facebook.com/104263655671004,,,-31.3621057,29.5725959,,pendiente,no comprobado,,,966
veronicas-place,Veronicas Place,Mthatha,Pan y cereal,pan y productos de cereal,12 Durham St,,,+27717315788,,,https://www.facebook.com/105901791479830,,,-31.5893552,28.7855267,,parcial,no comprobado,,,970
zimele-butchery,Zimele Butchery,Libode,Carne,,"R61, Ntlaza",,,+27475389956,qiqilemsiwa@icloud.com,http://www.zimelle.co.za/,https://www.facebook.com/113753880385413,,,-31.54983,29.01598,,pendiente,no comprobado,,,1029
