slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen,verificacion,Venta online,Canal de venta,categorias adicionales,producer_id,descripcion_locale
brickmakers-distilling-co,Brickmakers Distilling Co.,Gqeberha,Destilados y licores,destilados,1 Ellis St,,,+27813951405,info@brickmakersdistillery.co.za,http://brickmakersdistillery.co.za/,https://www.facebook.com/346670802343385,,,-33.9688308,25.6199736,,parcial,no comprobado,,,135,
bridge-street,Bridge Street,Gqeberha,Cerveza,,1 Bridge St,,,+27415810361,management@bridgestreet.co.za,https://www.dineplan.com/restaurants/bridge-street-brewery,https://www.facebook.com/289350431131214,,,-33.9695497,25.6186539,,parcial,no comprobado,,,136,
cadbury-pty-ltd,Cadbury Pty. Ltd.,Gqeberha,Chocolate,,171 Harrower Rd,,,+27413922911,,http://cadbury.co.za,https://www.facebook.com/262173033929746,,,-33.9371802,25.5917598,,parcial,no comprobado,,,157,
coti-chocolate-manufacturers,Coti Chocolate Manufacturers,Gqeberha,Chocolate,,10 Buxton Ave,,,+27413731316,info@cotibrands.com,http://cotibrands.com/,https://www.facebook.com/354879357936973,,,-33.9446073,25.5962531,,parcial,no comprobado,,,205,
dockside-brewery,Dockside Brewery,Gqeberha,Cerveza,,4 Rogley St,,,+27732780204,mrey12@gmail.com,http://www.docksidebrewery.co.za,https://www.facebook.com/105300484929048,,,-33.9507587,25.6102353,,parcial,no comprobado,,,260,
edward-snell-co,Edward Snell & Co,Gqeberha,Vino,,48 Broad St,,,+27414844834,info@esnell.co.za,,https://www.facebook.com/877725389039492,,,-33.9424397,25.6102254,,parcial,no comprobado,,,288,
fresh-cut-farms,Fresh Cut Farms,Gqeberha,Otros,,93 Villiers Rd,,,+27832702678,sales@freshcutfarms.co.za,http://www.freshcutfarms.co.za/,https://www.facebook.com/108247555333636,,,-33.9770528,25.6007184,,parcial,no comprobado,,,348,
green-on-the-hill,Green on the Hill,Gqeberha,Otros,,Sardinia Bay Rd,,,+27825519451,greenoth.sa@gmail.com,http://www.greenonthehill.co.za/,https://www.facebook.com/111714990248114,,,-34.0137926,25.528981,,parcial,no comprobado,,,372,
holmeleigh-farmyard,Holmeleigh Farmyard,Gqeberha,Otros,,Grey Dawn Road,,,+27723244059,info@holmeleighfarmyard.co.za,http://www.holmeleighfarmyard.co.za/,https://www.facebook.com/1457931097785372,,,-33.9787206,25.4431779,,parcial,no comprobado,,,410,
honeymoon-breweries,Honeymoon Breweries,Gqeberha,Cerveza,,33 Atlanta Cres,,,+27413926259,,,https://www.facebook.com/596326110526277,,,-33.9521779,25.5078125,,parcial,no comprobado,,,412,
mama-africa-farm,Mama Africa Farm,Port Elizabeth,Otros,,,,,+27824972574,africadom@gmail.com,http://www.mamaafricafarm.co.za/,https://www.facebook.com/349351968916260,,,-33.8998077,25.2555346,,parcial,no comprobado,,,553,
meridian-wine-merchants-garden-route,Meridian Wine Merchants Garden Route,Port Elizabeth,Vino,,59 Main Road,,,+27874055003,,http://www.meridianwines.co.za/,,,,-33.9763684,25.5902799,,parcial,no comprobado,,,589,
mhizha-brahman-boran-breeders,Mhizha brahman/boran breeders,Gqeberha,Otros,,81 Ntlokwana Majori St,,,+27817604315,installcapsat@gmail.com,http://www.capesat-installers.co.za/,https://www.facebook.com/680483981818332,,,-33.98905,25.5775,,parcial,no comprobado,,,593,
milkwood-meadows-estate,Milkwood Meadows Estate,Gqeberha,Otros,,SARDINIA BAY ROAD,,,+27649337607,admin@milkwoodmeadows.com,https://www.milkwoodmeadows.com/,https://www.facebook.com/115404001544475,,,-34.01627,25.50628,,parcial,no comprobado,,,597,
rhbc-kragga-kamma,Rhbc Kragga Kamma,Gqeberha,Cerveza,,kragga kamma Road,,,+27637052818,rhbckraggakamma@gmail.com,https://account.dineplan.com/widgetframe/xg8bk1tS?source=Facebook,https://www.facebook.com/567794899760988,,,-33.9527181,25.5230837,,parcial,no comprobado,,,741,
richmond-hill-brew-co,Richmond Hill Brew Co,Port Elizabeth,Cerveza,,2 Alabaster St,,,+27415822444,,,,,,-33.968544,25.620678,,parcial,no comprobado,,,745,
richmond-hill-brewing-co,Richmond Hill Brewing Co,Gqeberha,Cerveza,,2 Alabaster St,,,+27664726352,info@richmondhillbrewing.com,https://www.dineplan.com/widgetframe/0jvNx34s?source=Facebook,https://www.facebook.com/1156705511010539,,,-33.9684688,25.6207819,,parcial,no comprobado,,,746,
the-south-african-breweries-ltd-ibhayi,The South African Breweries Ltd.,Ibhayi,Cerveza,,47 Kohler Rd,,,+27414633366,michelle.kockjeu@za.sabmiller.com,http://www.sabmiller.com,https://www.facebook.com/237615892956595,,,-33.8381564,25.5414315,,parcial,no comprobado,,,920,
tulbagh-wine-cellars,Tulbagh Wine Cellars,Kariega,Vino,,Drostdy,,,+27232301001,,http://www.tulbaghwine.co.za,https://www.facebook.com/1267976713231547,,,-33.7717,25.4049,,parcial,no comprobado,,,941,
