slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen,verificacion,Venta online,Canal de venta,categorias adicionales,producer_id,descripcion_locale
colocal-indian-bean-to-bar-chocolate-makers,Colocal Indian 'Bean to Bar' Chocolate Makers,Delhi,Chocolate,,,Colocal Indian 'Bean to Bar' Chocolate Makers makes chocolate in Delhi.,,+919560500676,colocalchocolates@gmail.com,https://colocal.in,,,,28.66667,77.21667,,parcial,sí,ecommerce,,39,en
defence-bakery,Defence Bakery,Delhi,Pan y cereal,,,"Defence Bakery makes bread, cakes, pastries and biscuits in Delhi.",,+917678237307,operations@defencebakery.in,https://defencebakery.in,,,,28.66667,77.21667,,parcial,sí,ecommerce,,44,en
devan-s-south-indian-coffee-tea,Devan's South Indian Coffee & Tea,Delhi,Café,,,Devan's South Indian Coffee & Tea is a coffee producer and roaster in Delhi making coffee.,,+919871105464,contact@devans.in,https://devans.in,,,,28.66667,77.21667,,parcial,sí,ecommerce,,45,en
kaleva-sweets,Kaleva Sweets,Delhi,Dulces y repostería,,,Kaleva Sweets makes traditional sweets and confectionery in Delhi.,,,info@kalevasweets.com,https://kalevasweets.com,,,,28.66667,77.21667,,parcial,sí,ecommerce,,81,en
nathu-s-sweets,Nathu's Sweets,Delhi,Dulces y repostería,,,Nathu's Sweets makes traditional sweets and confectionery in Delhi.,,+917011404956,info@nathusweets.com,https://nathusweets.com,,,,28.66667,77.21667,,parcial,no,,,105,en
quick-brown-fox-coffee-roasters,Quick Brown Fox Coffee Roasters,Delhi,Café,,,Quick Brown Fox Coffee Roasters produces and roasts coffee in Delhi.,,,,https://qbfcoffee.com,,,,28.66667,77.21667,,parcial,sí,ecommerce,,131,en
sleepy-owl-coffee,Sleepy Owl Coffee,Delhi,Café,,,Sleepy Owl Coffee produces and roasts coffee in Delhi.,,+916947697295,,https://sleepyowl.co,,,,28.66667,77.21667,,parcial,sí,ecommerce,,151,en
suchali-s-artisan-bakehouse,Suchali's Artisan Bakehouse,Delhi,Pan y cereal,,,"Suchali's Artisan Bakehouse makes sourdough bread, pastries and other baked goods in Delhi.",,,,https://suchalisartisanbakehouse.com,,,,28.66667,77.21667,,parcial,sí,ecommerce,,156,en
blue-tokai-coffee-roasters,Blue Tokai Coffee Roasters,Delhi,Café,"Single-estate Indian coffees, cold brew","Unit No 9, Ground Floor, Khasra No 253 & 254, Sultanpur, MG Road, New Delhi 110030",Blue Tokai Coffee Roasters roasts single-estate Indian coffees at its Sultanpur roastery in Delhi and sells whole bean and ground coffee.,,+919606047077,getcoffee@bluetokaicoffee.com,https://bluetokaicoffee.com,https://www.facebook.com/bluetokaicoffee,https://www.instagram.com/bluetokaicoffee,,28.66667,77.21667,,parcial,sí,ecommerce,,28,en
savorworks-coffee-roasters,Savorworks Coffee Roasters,Delhi,Café,"Single-origin roasted coffee, bean-to-bar dark chocolate","9 Commercial Complex, Masjid Moth, Greater Kailash 2, New Delhi 110048",Savorworks Artisans roasts specialty coffee and makes bean-to-bar chocolate at its Greater Kailash workshop in Delhi.,,+918750617272,info@savorworksroasters.com,https://www.savorworksroasters.com,,,,28.66667,77.21667,,parcial,sí,ecommerce,Chocolate,141,en
rossette-coffee-lab,Rossette Coffee Lab,Delhi,Café,"Small-batch roasted coffee from Karnataka, Tamil Nadu and Nagaland estates","2nd Floor, C1 & C2, Ajay Enclave, Manak Vihar Extension, Ashok Nagar, New Delhi 110018","Rossette Coffee Lab roasts all its coffee in house in small batches at its West Delhi roastery, sourcing green coffee from Indian and Colombian estates.",,+919818998008,hello@rossettecoffee.com,https://rossettecoffee.com,,,,28.66667,77.21667,,parcial,sí,ecommerce,,137,en
kaffa-cerrado,Kaffa Cerrado,Delhi,Café,"Attikan Estate, single-origin roasted coffee","A-77, Okhla Industrial Area Phase II, New Delhi 110020",Kaffa Cerrado is a family-run coffee roastery in Okhla Industrial Area that roasts Indian and imported single-origin coffees.,,+911141326705,krittivas@kaffacerrado.com,https://kaffacerrado.com,https://www.facebook.com/kaffacerrado,https://www.instagram.com/kaffacerrado,,28.66667,77.21667,,parcial,sí,ecommerce,,80,en
