slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen,verificacion,Venta online,Canal de venta,categorias adicionales,producer_id,descripcion_locale
alheiras-gracinda,Alheiras Gracinda,Mirandela,Carne,Alheira de Mirandela IGP,"Zona Industrial, Rua A 53, 5370-565 Mirandela",,,+351278262830,geral@alheirasgracinda.pt,,https://www.facebook.com/agracinda,,,41.483330,-7.183330,,parcial,no comprobado,,,85,
alheiras-angelina,Alheiras Angelina,Mirandela,Carne,Alheira de Mirandela IGP,"Rua Quinta da Mouca 138, Vale de Ague, 5370-265 Mirandela",,,+351278248884,geral@alheirasangelina.com,,,https://www.instagram.com/alheirasangelina/,,41.483330,-7.183330,,parcial,no comprobado,,,84,
eurofumeiro,Eurofumeiro,Mirandela,Carne,Alheira de Mirandela IGP,"Zona Industrial Norte, Rua A 32, 5370-565 Mirandela",,,+351278265845,geral@eurofumeiro.com,https://eurofumeiro.com/,,,,41.483330,-7.183330,,parcial,no comprobado,,,354,
topiteu,Topitéu,Mirandela,Carne,Alheira de Mirandela IGP,"Rua C, Zona Industrial, 5370-565 Mirandela",,,+351278201180,geral@topiteu.pt,https://topiteu.pt/,,,,41.483330,-7.183330,,parcial,no comprobado,,,872,
arribas-wine-company,Arribas Wine Company,Mogadouro,Vino,,"Rua do Quartel, 44, 5200-065 Bemposta",,,+351917637809,info@arribaswine.com,http://arribaswine.com,,,,41.341930,-6.719340,,parcial,no comprobado,,,111,
baltazar-s,Baltazar's,Carrazeda de Ansiães,Vino,,"Rua Marechal Gomes da Costa nº996, 5140-083 Carrazeda de Ansiães",,,+351278200461,baltazars@baltazars.pt,http://www.baltazars.pt,,,,41.250000,-7.300000,,parcial,no comprobado,,,127,
quinta-dos-castelares,Quinta dos Castelares,Freixo de Espada à Cinta,Vino,,"Quinta dos Castelares, Av. Guerra Junqueiro, 5180-104 Freixo de Espada a Cinta",,,+351279653392,pedromartins@castelares.com,http://www.castelares.com,,,,41.083330,-6.800000,,parcial,no comprobado,,,771,
cortes-do-tua-wines,Cortes do Tua Wines,Carrazeda de Ansiães,Vino,,"Rua dos Cabeços nª2 Pombal, 5140-222 Carrazeda de Ansiães",,,+351917003960,geral@cortesdotua.pt,http://www.cortesdotua.pt,,,,41.250000,-7.300000,,parcial,no comprobado,,,298,
qpf,QPF,Carrazeda de Ansiães,Vino,,"Apartado 22, 5140-999 Carrazeda de Ansiães",,,+351917512000,calem@ferradosa.com,http://www.ferradosa.com,,,,41.250000,-7.300000,,parcial,no comprobado,,,621,
quinta-da-terrincha,Quinta da Terrincha,Torre de Moncorvo,Vino,,"Estrada Nacional 102- Adeganha, 5160-022 Adeganha - Torre de MOncorvo",,,+351910158875,emanuel@quintadaterrincha.pt,http://www.quintadaterrincha.pt,,,,41.179220,-7.035800,,parcial,no comprobado,,,694,
quinta-de-vila-maior,Quinta de Vila Maior,Torre de Moncorvo,Vino,,"TORRE DE MONCORVO, 5160-035 TORRE DE MONCORVO",,,+351918624659,quintavilamaior@gmail.com,http://www.casadapalmeira.pt,,,,41.179220,-7.035800,,parcial,no comprobado,,,726,
quinta-do-carvalhido,Quinta do Carvalhido,Vila Flor,Vino,,"Lugar da Tapada Vieiro - Freixiel, 5360-063 Vila Flor",,,+351918147491,geral@quintadocarvalhido.com,http://quintadocarvalhido.com,,,,41.300000,-7.150000,,parcial,no comprobado,,,734,
quinta-do-granjal,Quinta do Granjal,Vila Flor,Vino,,"Rua Principal, nº 78, 5360-189 Seixo de Manhoses",,,+351278516231,geral@quintadogranjal.pt,http://www.quintadogranjal.pt,,,,41.300000,-7.150000,,parcial,no comprobado,,,745,
quinta-do-gravancal,Quinta do Gravançal,Torre de Moncorvo,Vino,,"Rua das Eiras, n.5, 5160-161 Peredo dos Castelhanos",,,+351918200810,ola@quintadogravancal.com,http://quintadogravancal.com,,,,41.179220,-7.035800,,parcial,no comprobado,,,746,
