slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,fecha_revision,imagen
aceiteros-del-agueda-ahigal-de-los-aceiteros,Aceiteros del Águeda,Ahigal de los Aceiteros,Aceite,Aceite de oliva,"Cam. San Felices, s/n, 37248 Ahigal de los Aceiteros, Salamanca","Productor local de aceite en Ahigal de los Aceiteros, incorporado al catálogo provincial de Salamanca desde Salamanca en Bandeja.",Consultar web o venta directa,649 34 03 82,,http://www.arribera.es/,,,https://www.google.com/maps/search/?api=1&query=Aceiteros%20del%20%C3%81gueda&query_place_id=ChIJacLRwzETPA0RYnLQxM56ON0,40.871874,-6.742515,2026-05-18,
soleae-herguijuela-de-la-sierra,Soleae,Herguijuela de la Sierra,Aceite,Aceite de oliva,"Calle Gomez, 4, 37619 Herguijuela de la Sierra, Salamanca","Productor local de aceite en Herguijuela de la Sierra, incorporado al catálogo provincial de Salamanca desde Salamanca en Bandeja.",Consultar web o venta directa,696 62 37 31,,http://www.soleae.com/,,,https://www.google.com/maps/search/?api=1&query=Soleae&query_place_id=ChIJudp4p3BgPg0RrWV_D8BNM2E,40.444919999999996,-6.07405,2026-05-18,
soleae-aceite-de-oliva-virgen-extra-herguijuela-de-la-sierra,Soleae. Aceite de Oliva Virgen Extra,Herguijuela de la Sierra,Aceite,Aceite de oliva,"Calle Gomez, 4, 37619 Herguijuela de la Sierra, Salamanca","Productor local de aceite en Herguijuela de la Sierra, incorporado al catálogo provincial de Salamanca tras segunda pasada.",Consultar web o venta directa,,,,,,https://www.google.com/maps/search/?api=1&query=Soleae.%20Aceite%20de%20Oliva%20Virgen%20Extra&query_place_id=ChIJudp4p3BgPg0RrWV_D8BNM2E,40.444919999999996,-6.07405,2026-05-18,
aq5-sabores-salamanca,AQ5 Sabores,Salamanca,Aceite,Aceite de oliva,"C. Príncipe de Vergara, 33, Oficina administrativa, 37003 Salamanca","Productor local de aceite en Salamanca, incorporado al catálogo provincial de Salamanca desde Salamanca en Bandeja.",Consultar web o venta directa,626 13 30 26,,https://www.aq5sabores.es/,,,https://www.google.com/maps/search/?api=1&query=AQ5%20Sabores&query_place_id=ChIJh6xVuGonPw0RITuW4BOpKMU,40.9627996,-5.653798699999999,2026-05-18,
bodega-quinta-de-las-velas-ahigal-de-los-aceiteros,Bodega Quinta de las Velas,Ahigal de los Aceiteros,Bodega,Vino,"C. del Humilladero, 44, 37248 Ahigal de los Aceiteros, Salamanca","Productor local de bodega en Ahigal de los Aceiteros, incorporado al catálogo provincial de Salamanca desde Salamanca en Bandeja.",Consultar web o venta directa,619 95 57 35,,,,,https://www.google.com/maps/search/?api=1&query=Bodega%20Quinta%20de%20las%20Velas&query_place_id=ChIJEVt5hO8TPA0RB74AUXOlOng,40.873492999999996,-6.7474966,2026-05-18,
bodegas-arribes-del-duero-aldeadavila-de-la-ribera,Bodegas Arribes del Duero,Aldeadávila de la Ribera,Bodega,Vino,"Ctra. Masueco s/n - Corporario, 37251 Aldeadávila de la Ribera, Salamanca","Productor local de bodega en Aldeadávila de la Ribera, incorporado al catálogo provincial de Salamanca tras revisión complementaria.",Consultar web o venta directa,923 16 91 95,,http://www.bodegasarribesdelduero.com/,,,https://www.google.com/maps/search/?api=1&query=Bodegas%20Arribes%20del%20Duero&query_place_id=ChIJz9ekkl_wOw0RaoSAumtQV1I,41.2126248,-6.6006104,2026-05-18,
bodegas-perahigos-garcibuey,Bodegas Perahigos,Garcibuey,Bodega,Vino,"Av Paz, 22, 37658 Garcibuey, Salamanca","Productor local de bodega en Garcibuey, incorporado al catálogo provincial de Salamanca tras revisión complementaria.",Consultar web o venta directa,,,https://www.perahigos.es/,,,https://www.google.com/maps/search/?api=1&query=Bodegas%20Perahigos&query_place_id=ChIJ2c-Cbhz1Pg0Rh4V4O55FwCA,40.517689999999995,-5.9956682,2026-05-18,
bodega-dominio-de-la-sierra-mogarraz,Bodega Dominio de la Sierra,Mogarraz,Bodega,Vino,"calle del pozo barrero, 7, 37610 Mogarraz, Salamanca","Productor local de bodega en Mogarraz, incorporado al catálogo provincial de Salamanca desde Salamanca en Bandeja.",Consultar web o venta directa,626 65 63 51,,http://www.dosierradesalamanca.es/,,,https://www.google.com/maps/search/?api=1&query=Bodega%20Dominio%20de%20la%20Sierra&query_place_id=ChIJA2wC3Ab1Pg0R9arPi-rOg7A,40.492688699999995,-6.0532846,2026-05-18,
vinos-lazorra-mogarraz,Vinos LaZorra,Mogarraz,Bodega,Vino,"C. San Pedro, s/n, 37610 Mogarraz, Salamanca","Productor local de bodega en Mogarraz, incorporado al catálogo provincial de Salamanca tras revisión complementaria.",Consultar web o venta directa,923 41 80 18,,http://www.vinoslazorra.es/,,,https://www.google.com/maps/search/?api=1&query=Vinos%20LaZorra&query_place_id=ChIJ7Rr6n6z1Pg0RCRTnRnTMSEg,40.4926645,-6.0495949,2026-05-18,
bodega-al-pie-del-abismo-perena-de-la-ribera,Bodega Al Pie del Abismo,Pereña de la Ribera,Bodega,Vino,"Calle El Villar, 59, 37175 Pereña de la Ribera, Salamanca","Productor local de bodega en Pereña de la Ribera, incorporado al catálogo provincial de Salamanca desde Salamanca en Bandeja.",Consultar web o venta directa,659 16 58 92,,https://alpiedelabismo.com/,,,https://www.google.com/maps/search/?api=1&query=Bodega%20Al%20Pie%20del%20Abismo&query_place_id=ChIJw5x9yYL7Ow0RR3IVHQR3NRA,41.2427764,-6.5241048,2026-05-18,
