slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen,verificacion,Venta online,Canal de venta,categorias adicionales,producer_id,descripcion_locale
sula-vineyards,Sula Vineyards,Nashik,Vino,,"Gangapur-Savargaon Road, Nashik, Maharashtra","Winery on the Gangapur-Savargaon road outside Nashik, with its own vineyards, a tasting room and visitor facilities.",,,,https://sulavineyards.com/,,,,20.00644,73.68765,,parcial,no comprobado,,,158,en
vallonne-vineyards,Vallonné Vineyards,Igatpuri,Vino,,"Gat 502, Kavnai, near Sanjegaon, Igatpuri, Nashik 422403","Boutique wine estate at Kavnai near Igatpuri, with its own winery, a restaurant and rooms on site.",,+919819129455,info@vallonnevineyards.com,https://www.vallonnevineyards.com/,,,,19.70000,73.55000,,parcial,no comprobado,,,167,en
good-drop-wine-cellars,Good Drop Wine Cellars,Vinchur,Vino,"Rio, Frizzano, Good Earth","Vinchur Wine Park, Vinchur, Nashik, Maharashtra","Sparkling-wine specialist with a purpose-built winery at Vinchur Wine Park, working grapes from contracted vineyards across the Nashik region.",,+919619596477,,https://gooddropwine.com/,,,,20.10690,74.22430,,parcial,no comprobado,,,60,en
fratelli-wines,Fratelli Wines,Akluj,Vino,"Sette, NOI Spritzer, Classic Merlot",,"Winery at Akluj making wines from its own vineyards in an Italian-Indian partnership, and a small batch of vineyard cheese.",,,info@fratelliwines.in,https://fratelliwines.in/,,,,17.88333,75.01667,,parcial,sí,ecommerce,Lácteos y quesos,53,en
aamrai,Aamrai (Ratnagiri Alphonso Mango Growers),Ratnagiri,Fruta y verdura,,,Aamrai (Ratnagiri Alphonso Mango Growers) is a fruit and vegetable producer in Ratnagiri making locally grown fruit and vegetables.,,+919167999411,info@aamrai.com,https://aamrai.com/,,,,16.98333,73.30000,,parcial,sí,ecommerce,,1,en
cerana-meads,Cerana Meads,Sinnar,Otros,,,Cerana Meads is a meadery in Sinnar fermenting honey-based alcoholic drinks.,,+917506750708,info@ceranameads.com,https://ceranameads.com/,,,,19.85000,74.00000,,parcial,no,,,35,en
chitale-bandhu-mithaiwale,Chitale Bandhu Mithaiwale,Pune,Aperitivos,,,Chitale Bandhu Mithaiwale is a savoury-snack maker in Pune making regional savoury snacks.,,,,https://chitalebandhu.in/,,,,18.52111,73.85528,,parcial,sí,ecommerce,,37,en
devgad-taluka-mango-grower-s-co-operative-society,Devgad Taluka Mango Grower's Co-operative Society (Devgad Mango),Devgad,Fruta y verdura,,,Devgad Taluka Mango Grower's Co-operative Society (Devgad Mango) is a fruit and vegetable producer in Devgad making locally grown fruit and vegetables.,,+919022112269,devgad@devgadmango.com,https://devgadmango.com/,,,,16.37759,73.38213,,parcial,no,,,48,en
great-state-aleworks,Great State Aleworks,Pune,Cerveza,,,Great State Aleworks is a brewery in Pune making beer brewed on site.,,+918928075158,goodbeer@greatstatealeworks.com,https://greatstatealeworks.com/,,,,18.52111,73.85528,,parcial,no,,,63,en
grover-zampa-vineyards-sanjegaon,Grover Zampa Vineyards,Sanjegaon,Vino,,,Grover Zampa Vineyards is a winery in Sanjegaon making wine.,,+918956011693,info@groverzampa.in,https://groverzampa.in/,,,,,,,parcial,no,,,64,en
reveilo-wines,Reveilo Wines (Vintage Wines),Niphad,Vino,,,Reveilo Wines (Vintage Wines) is a winery in Niphad making wine.,,+919800000000,sales@reveilo.com,https://reveilo.com/,,,,20.08330,73.80000,,parcial,no,,,133,en
soma-vine-village,Soma Vine Village (Soma Vineyards),Nashik,Vino,,,Soma Vine Village (Soma Vineyards) is a winery in Nashik making wine.,,+917028066015,reservations@somavineyardresort.com,https://somavinevillage.com/,,,,20.00000,73.78333,,parcial,no,,,153,en
