slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen,verificacion,Venta online,Canal de venta,categorias adicionales,producer_id,descripcion_locale,visitas guiadas,mensaje a la comunidad,mensaje_comunidad_locale,enlace destacado 1,enlace destacado 2
ca-del-bosco,Ca' del Bosco,Erbusco,Vino,Franciacorta,"Via Albano Zanella, 13, 25030 Erbusco BS",,,,,https://www.cadelbosco.com/it/,https://www.facebook.com/CaDelBosco,https://www.instagram.com/cadelbosco_official/,https://www.google.com/maps/search/?api=1&query=Ca%27%20del%20Bosco%2C%20Via%20Albano%20Zanella%2C%2013%2C%2025030%20Erbusco%20BS&query_place_id=ChIJT77cSzdvgUcRFpwEiHNrVAE,45.594843499999996,9.9907196,,,no comprobado,,,725,,,,,,
castello-bonomi,Castello Bonomi,Coccaglio,Vino,Franciacorta,"Via San Pietro, 46, 25030 Coccaglio BS",,,+390307721015,info@castellobonomi.it,https://www.castellobonomi.it/,https://www.facebook.com/CastelloBonomi,https://www.instagram.com/CastelloBonomi/,https://www.google.com/maps/search/?api=1&query=Castello%20Bonomi%2C%20Via%20San%20Pietro%2C%2046%2C%2025030%20Coccaglio%20BS&query_place_id=ChIJg-MBUDJpgUcRLrInpdc9u4U,45.571550599999995,9.967788299999999,,,no comprobado,,,1501,,,,,,
riccafana,Riccafana,Cologne,Vino,Franciacorta biologico,"Via Fratelli Facchetti, 91, 25033 Cologne BS",,,,,https://riccafana.it/,https://www.facebook.com/riccafana,https://www.instagram.com/cantina_la_riccafana/,https://www.google.com/maps/search/?api=1&query=Riccafana%2C%20Via%20Fratelli%20Facchetti%2C%2091%2C%2025033%20Cologne%20BS&query_place_id=ChIJHT89qyFpgUcRQZkmaaZmue0,45.5826011,9.9552987,,,no comprobado,,,3034,,,,,,
la-sinta,La Sinta,Collebeato,Vino,vini biologici,"Via Martinengo, 22, 25060 Collebeato BS",,,,lasintacollebeato@gmail.com,https://www.lasinta.com/,,https://instagram.com/lasintacollebeato/,https://www.google.com/maps/search/?api=1&query=La%20Sinta%2C%20Via%20Martinengo%2C%2022%2C%2025060%20Collebeato%20BS&query_place_id=ChIJn1uHMBZ3gUcRLjw0aDOH6Ic,45.5850173,10.2103287,,,no comprobado,,,2267,,,,,,
terre-solive,Terre Solive,Bagolino,Conservas,"confetture biologiche, miele, bevande","Via Cerreto, 29, 25072 Bagolino BS",,,,,https://terresolive.it/,https://www.facebook.com/terresolive,https://www.instagram.com/terresolive/,https://www.google.com/maps/search/?api=1&query=Terre%20Solive%2C%20Via%20Cerreto%2C%2029%2C%2025072%20Bagolino%20BS&query_place_id=ChIJqwmgRQIvgkcRzBBUFdCVAfw,45.826496399999996,10.4921905,,,sí,ecommerce,,3277,,,,,,
birra-la-dama,BIRRA LA DAMA,Bedizzole,Cerveza,birra artigianale,"Via Benaco, 90/F, 25081 Bedizzole BS",,,+393356791326,hello@birraladama.it,https://birraladama.it/,,,https://www.google.com/maps/search/?api=1&query=45.5045992%2C10.4584827&query_place_id=ChIJ2Yk31r2RgUcROD5v1QgIhXI,45.5045992,10.4584827,,,sí,ecommerce,,578,,,,,,
luppoleto-camuno,Luppoleto Camuno,Gianico,Cerveza,birra artigianale,"Via Nazionale, 81, 25040 Gianico BS",,,,martina.bellomi@abidi.it,https://www.luppoletocamuno.it/,,,https://www.google.com/maps/search/?api=1&query=45.8622429%2C10.1635399&query_place_id=ChIJpx0xfbTbg0cRiDYYunBoHHM,45.8622429,10.1635399,,,no comprobado,,,2528,,,,,,
birrificio-artigianale-curtense,Birrificio Artigianale Curtense,Passirano,Cerveza,birra artigianale,,,,+39306850013,info@curtense.it,https://www.curtense.it,,,https://www.google.com/maps/search/?api=1&query=Birrificio%20Artigianale%20Curtense%2C%20Passirano&query_place_id=ChIJxzEgsoVvgUcRxPvUEGT_Uho,45.6098832,10.0513928,,,no comprobado,,,592,,,,,,
grana-padano-marchini-domenico-e-c-societa-agricola-s-s-bs660,Marchini Domenico e C. Societa' Agricola S.S.,Capriano del Colle,Lácteos y quesos,Grana Padano DOP,"Cascina Torricello, 4 25020 Capriano del Colle (BS)",,,+390309747330,info@marchinidomenico.it,,,,https://www.google.com/maps/search/?api=1&query=Marchini%20Domenico%20e%20C.%20Societa%27%20Agricola%20S.S.%2C%20Cascina%20Torricello%2C%204%2025020%20Capriano%20del%20Colle%20%28BS%29&query_place_id=ChIJ1-nL-2kLgUcRSjhaiNUGxBo,45.4344264,10.1307898,,pendiente,no comprobado,,,2555,,,,,,
grana-padano-ambrosi-spa-industria-casearia-bs601,Ambrosi SpA Industria Casearia,Castenedolo,Lácteos y quesos,Grana Padano DOP,"Via Ottorino Ambrosi, 1 25014 - Castenedolo (BS)",,,+390302134811,info.amministrazione@ambrosi.it,https://www.ambrosi.it,,,https://www.google.com/maps/search/?api=1&query=Ambrosi%20SpA%20Industria%20Casearia%2C%20Via%20Ottorino%20Ambrosi%2C%201%2025014%20-%20Castenedolo%20%28BS%29&query_place_id=ChIJ2aPRMCafgUcR8sSGT6jwcqA,45.4814416,10.3172971,,pendiente,no comprobado,,,151,,,,,,
grana-padano-biocaseificio-tomasoni-di-tomasoni-massimo-e-c-snc-bs603,Biocaseificio Tomasoni di Tomasoni Massimo & C. snc,Gottolengo,Lácteos y quesos,Grana Padano DOP,"Via Roma, 30 25023 - Gottolengo (BS)",,,+39030951007,info@biocaseificiotomasoni.it,https://www.biocaseificiotomasoni.it,,,https://www.google.com/maps/search/?api=1&query=Biocaseificio%20Tomasoni%20di%20Tomasoni%20Massimo%20%26%20C.%20snc%2C%20Via%20Roma%2C%2030%2025023%20-%20Gottolengo%20%28BS%29&query_place_id=ChIJAwBcuVivgUcRALpmF4MRfwc,45.2888727,10.2672514,,pendiente,no comprobado,,,554,,,,,,
grana-padano-caseificio-campiotti-e-c-snc-bs604,Caseificio Campiotti & C. snc,Roccafranca,Lácteos y quesos,Grana Padano DOP,"Via Villanuova, 12 25030 - Ludriano di Roccafranca (BS)",,,+390307090123,info@caseificiocampiotti.it,,,,https://www.google.com/maps/search/?api=1&query=Caseificio%20Campiotti%20%26%20C.%20snc%2C%20Via%20Villanuova%2C%2012%2025030%20-%20Ludriano%20di%20Roccafranca%20%28BS%29&query_place_id=ChIJPwmVu2MTgUcRq9DE0MKVxuI,45.4463785,9.9309136,,pendiente,no comprobado,,,991,,,,,,
grana-padano-casearia-bresciana-ca-bre-s-c-a-bs605,Casearia Bresciana Ca.Bre S.C.A.,Verolanuova,Lácteos y quesos,Grana Padano DOP,"Località Cabre, 10 25028 - Cadignano di Verolanuova (BS)",,,+3903093651,csa@cabre.it,https://www.cabre.it,,,https://www.google.com/maps/search/?api=1&query=Casearia%20Bresciana%20Ca.Bre%20S.C.A.%2C%20Localit%C3%A0%20Cabre%2C%2010%2025028%20-%20Cadignano%20di%20Verolanuova%20%28BS%29&query_place_id=ChIJBTu5tEoPgUcRPEguWR0jNaQ,45.3624471,10.0461376,,pendiente,no comprobado,,,899,,,,,,
grana-padano-caseificio-sociale-di-carpenedolo-sca-bs606,Caseificio Sociale di Carpenedolo Sca,Carpenedolo,Lácteos y quesos,Grana Padano DOP,"Via XX Settembre, 235 25013 - Carpenedolo (BS)",,,+39030969062,caseificiocarpenedolo@gmail.com,,,,https://www.google.com/maps/search/?api=1&query=Caseificio%20Sociale%20di%20Carpenedolo%20Sca%2C%20Via%20XX%20Settembre%2C%20235%2025013%20-%20Carpenedolo%20%28BS%29&query_place_id=ChIJf7H2UE69gUcRZkmXnAb4-e0,45.3533042,10.4304889,,pendiente,no comprobado,,,1403,,,,,,
grana-padano-caseificio-sociale-giardino-s-c-a-bs607,Caseificio Sociale Giardino S.C.A.,Orzivecchi,Lácteos y quesos,Grana Padano DOP,Via Tenuta Giardino 25030 - Orzivecchi (BS),,,+390309465132,info@caseificiogiardino.it,,,,https://www.google.com/maps/search/?api=1&query=Caseificio%20Sociale%20Giardino%20S.C.A.%2C%20Via%20Tenuta%20Giardino%2025030%20-%20Orzivecchi%20%28BS%29&query_place_id=ChIJW_o4gjsSgUcRLWkxteGC4VM,45.420145,9.9662448,,pendiente,no comprobado,,,1418,,,,,,
grana-padano-latterie-alta-italia-lait-soc-coop-agr-bs612,Latterie Alta Italia LAIT Soc. Coop. Agr.,Bagnolo Mella,Lácteos y quesos,Grana Padano DOP,"Via Brescia, 8 25021 Bagnolo Mella (BS)",,,+390306821524,info@caseificiolait.it,https://caseificiolait.it/,,,https://www.google.com/maps/search/?api=1&query=Latterie%20Alta%20Italia%20LAIT%20Soc.%20Coop.%20Agr.%2C%20Via%20Brescia%2C%208%2025021%20Bagnolo%20Mella%20%28BS%29&query_place_id=ChIJnd_xVrEKgUcRN3dNdl1HLTU,45.4418613,10.1937098,,pendiente,no comprobado,,,2467,,,,,,
grana-padano-bresciangrana-societa-agricola-srl-bs615,Bresciangrana Società Agricola srl,Offlaga,Lácteos y quesos,Grana Padano DOP,,,,,,,,,,45.38333,10.11667,,pendiente,no comprobado,,,698,,,,,,
