slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen,verificacion,Venta online,Canal de venta,categorias adicionales,producer_id
hita-tenryosui-hita,Hita Tenryosui,Hita,Bebidas sin alcohol,,,,,,,https://www.hitatenryosui.co.jp/,,,,33.321310,130.941140,,parcial,no comprobado,,,328
inoue-shuzo-hita,Inoue Shuzo,Hita,Sake,,大分県日田市大字大肥2220-1,,,+81973282211,,http://www.kakunoi.com/,,,,33.364155,130.873398,,parcial,no comprobado,,,409
oimatsu-shuzo-hita,Oimatsu Shuzo,Hita,Sake,,大分県日田市大鶴町2912,,,+81973282116,,http://www.oimatsu.com/,,,,33.224724,130.964523,,parcial,no comprobado,,,911
kuncho-shuzo-hita,Kuncho Shuzo,Hita,Sake,,大分県日田市豆田町6-31,,,+81973236262,,http://www.kuncho.com/,,,,33.328838,130.9375,,parcial,no comprobado,,,678
kuge-honten-usuki,Kuge Honten,Usuki,Sake,,大分県臼杵市江無田３８２番地,,,+81972638000,,http://www.ichinoide.co.jp/,,,,33.128757,131.785492,,parcial,no comprobado,,,669
kotegawa-shuzo-usuki,Kotegawa Shuzo,Usuki,Sake,,大分県臼杵市大字臼杵538,,,+81972623335,,http://www.fundokin.co.jp/kotegawa/,,,,33.120708,131.797333,,parcial,no comprobado,,,646
emoto-shoten-usa,Emoto Shoten,Usa,Sake,,大分県宇佐市長洲369,,,+81978380012,,,,,,33.568745,131.37175,,parcial,no comprobado,,,201
oita-meijo-usa,Oita Meijo,Usa,Sake,,大分県宇佐市安心院町折敷田204-3,,,+81978442250,,http://www.oitameijyo.co.jp/,,,,33.435562,131.349411,,parcial,no comprobado,,,914
kubo-shuzo-usa,Kubo Shuzo,Usa,Sake,,大分県宇佐市大字長洲3581-1,,,+81978380109,,http://www.kubosyuzou.jp/,,,,33.572987,131.375732,,parcial,no comprobado,,,665
aso-honten-yufu,Aso Honten,Yufu,Sake,,大分県由布市庄内町畑田16,,,+81975820008,,http://www.asouhonten.com/,,,,33.192158,131.430161,,parcial,no comprobado,,,86
daichi-shuzo-saiki,Daichi Shuzo,Saiki,Sake,,大分県佐伯市船頭町14-14,,,+81972220074,,http://www.saiki.tv/~ochi-s/,,,,32.954681,131.892365,,parcial,no comprobado,,,159
ono-shuzo-kitsuki,Ono Shuzo,Kitsuki,Sake,,大分県杵築市山香町野原1353-2,,,+81977750011,,,,,,33.421692,131.495682,,parcial,no comprobado,,,947
kamenoi-shuzo-kusu,Kamenoi Shuzo,Kusu,Sake,,大分県玖珠郡玖珠町大字小田777,,,+81973720206,,,,,,33.257324,131.113708,,parcial,no comprobado,,,484
kayashima-shuzo-kunisaki,Kayashima Shuzo,Kunisaki,Sake,,大分県国東市国東町綱井392-1,,,+81978721181,,http://www.nishinoseki.com/,,,,33.530148,131.725464,,parcial,no comprobado,,,550
kira-shuzo-bungoono,Kira Shuzo,Bungoono,Sake,,大分県豊後大野市緒方町下自在359,,,+81974422205,,,,,,32.976231,131.468353,,parcial,no comprobado,,,588
takahashi-seicha-usuki,Takahashi Seicha,Usuki,Té e infusiones,Organic green tea,大分県臼杵市野津町八里合1407,"Takahashi Seicha produces organic green tea at its Usuki unit, which is listed in the national organic JAS operator register.",,,,https://www.tkhs-cha.com/,,,,33.056755,131.732727,,verificado,no comprobado,,,1177
ujamaa-farm-bungo-ono,Ujamaa Farm,Bungo-ōno,Fruta y verdura,Organic vegetables,大分県豊後大野市緒方町天神朷迫158,"Ujamaa Farm produces organic vegetables at its Bungo-ōno unit, which is listed in the national organic JAS operator register.",,+81974423501,,https://ujamaa-farm.com/,,,,32.956680,131.493057,,verificado,no comprobado,,,1296
usa-honbyakusho-usa,Usa Honbyakusho,Usa,Pan y cereal,Organic rice,大分県宇佐市木部字菅ノ木326,"Usa Honbyakusho produces organic rice at its Usa unit, which is listed in the national organic JAS operator register.",,+81978333265,info@100sho.co.jp,https://siawasemai.com/,,,,33.545776,131.268982,,verificado,sí,ecommerce,,1311
oct-net-taketa,葡萄の家 敬土庵,Taketa,Vino,,大分県竹田市久保1305-3,Produces wine at its Taketa unit.,,+81974662448,,http://www.oct-net.ne.jp/k-46/vin/vin.html,,https://www.instagram.com/yufuinbeer/,,32.973610,131.397780,,parcial,no comprobado,,,3123
ajimu-winery-usa,三和酒類 株式会社/安心院葡萄酒工房,Usa,Vino,,大分県宇佐市安心院町下毛798,Produces wine at its Usa unit.,,+81978342210,,https://www.ajimu-winery.co.jp/,,,,33.532000,131.349470,,verificado,no comprobado,,,2011
kuju-winery-taketa,有限会社 久住ワイナリー,Taketa,Vino,,大分県竹田市久住町久住字平木3990-1,Produces wine at its Taketa unit.,,+81974761002,,https://kuju-winery.co.jp/,,,,32.973610,131.397780,,verificado,sí,ecommerce,,2599
tabechoku-21695,日本ミツバチ専門 吉田養蜂所,Usa,Miel,蜂蜜,,Produces honey at its Usa unit.,,,,,,,,33.532000,131.349470,,parcial,sí,marketplace,,2561
tabechoku-26898,元さん農園,Saiki,Huevos,卵,,Produces eggs at its Saiki unit.,,,,,,,,32.886110,131.776110,,parcial,sí,marketplace,,2166
tabechoku-20340,かやの椎茸屋,Saiki,Setas,しいたけ,,Produces shiitake at its Saiki unit.,,,,,,,,32.886110,131.776110,,parcial,sí,marketplace,,1473
tabechoku-23656,産地直送 菜葉屋,Ōita-shi,Setas,しいたけ,,Produces shiitake at its Ōita-shi unit.,,,,,,,,33.239560,131.609360,,parcial,sí,marketplace,,2938
tabechoku-3077151,KASORE NATURAL 九重農場（旧：Y・Yふぁ～む）,Kokonoe,Pescado,,,Produces fish and seafood at its Kokonoe unit.,,,,,,,,33.228440,131.188780,,parcial,sí,marketplace,,522
tabechoku-3078831,豊後マダコ,Saiki,Pescado,,,Produces fish and seafood at its Saiki unit.,,,,,,,,32.886110,131.776110,,parcial,sí,marketplace,,3167
tabechoku-28273,カズフジ,Saiki,Pescado,,,Produces fish and seafood at its Saiki unit.,,,,,,,,32.886110,131.776110,,parcial,sí,marketplace,,1744
