slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen,verificacion,Venta online,Canal de venta,categorias adicionales,producer_id
agar-s-brewery,Agar's Brewery,Randburg,Cerveza,,28 Bernie St,,,+27836070747,donovan@agarsbrewery.co.za,http://www.agarsbrewery.co.za/,https://www.facebook.com/750346485016389,,,-26.0239056,27.9467349,,parcial,no comprobado,,,21
brewhogs-micro-brewery,Brewhogs Micro Brewery,Midrand,Cerveza,,25 Dytchley Rd,,,+27114660746,info@brewhogs.co.za,http://www.brewhogs.co.za/,https://www.facebook.com/629771730390960,,,-26.0028978,28.0731846,,parcial,no comprobado,,,134
cadbury-dairy-milk,Cadbury Dairy Milk,Sandton,Lácteos y quesos,leche y productos lácteos,,,,+27800114449,cadburyinfo@mdlz.com,http://www.cadbury.co.za/glassandahalf/,https://www.facebook.com/361255603944619,,,-26.10592,28.05424,,parcial,no comprobado,,,156
chicken-abattoir-processing-27718318078,Chicken Abattoir Processing +27718318078,Johannesburg,Carne,,36 New Goch Rd,,,+27718318078,kiddedeprocurent@outlook.com,http://kiddedeworks.co.za/,https://www.facebook.com/106966905453156,,,-26.2090514,28.07847,,parcial,no comprobado,,,173
copper-lake-breweries,Copper Lake Breweries,Randburg,Cerveza,,17 Main Ave,,,+27836331706,info@copperlakebreweries.co.za,http://www.copperlake.co.za/,https://www.facebook.com/1467298213524886,,,-25.9458175,27.9362864,,parcial,no comprobado,,,202
dendale-poultry-enterprises,Dendale Poultry Enterprises,Sandton,Carne,,80 Broadacres Dr,,,+27658317116,,http://www.dendale.co.za/,https://www.facebook.com/105595435222989,,,-25.9915593,28.0100381,,parcial,no comprobado,,,241
first-15-brewhouse,First 15 Brewhouse,Johannesburg,Cerveza,,Carfax,,,+27659447830,info@first15brewhouse.com,http://www.first15brewhouse.co.za/,https://www.facebook.com/753425485054171,,,-26.2007512,28.0290417,,parcial,no comprobado,,,334
gerakaris-family-wines,Gerakaris Family Wines,Randburg,Vino,,20 Marlborough Ave,,,+27726387636,info@gerakaris.co.za,http://www.gerakaris.co.za/reservations,https://www.facebook.com/1736423846575818,,,-26.1281559,28.0173028,,parcial,no comprobado,,,361
harper-brewing-co,Harper Brewing Co,Johannesburg,Cerveza,,9 Polly St,,,+27827359321,hello@harperbrewing.co.za,https://harperbrewing.co.za/shop/,https://www.facebook.com/1548435888735072,,,-26.2097922,28.0508271,,parcial,no comprobado,,,391
kate-s-dairy-farm,Kate's Dairy Farm,Roodepoort,Lácteos y quesos,leche y productos lácteos,39 Pencharz Rd,,,+27832677167,,http://www.katesdairy.co.za/,https://www.facebook.com/1793748290954314,,,-26.0964901,27.9101661,,parcial,no comprobado,,,456
nokuphila-poultry-pty-ltd,Nokuphila Poultry PTY LTD,Johannesburg,Carne,,13 St Amant St,,,+27817666339,nokuphilapoultrify@gmail.com,,https://www.facebook.com/631562903377592,,,-26.2038268,28.1018695,,parcial,no comprobado,,,655
sab,Sab,Sandton,Cerveza,,65 Park Ln,,,+27118818111,robyn.chalmers@za.sabmiller.com,http://www.sablimited.co.za,https://www.facebook.com/261471360557870,,,-26.1039714,28.0493818,,parcial,no comprobado,,,774
sedibeng-the-south-african-breweries,"Sedibeng,The South African Breweries",Johannesburg,Cerveza,,65 Park Ln,,,+27636323575,smashmodiha@gmail.com,http://www.amstel.com/,https://www.facebook.com/110241594713191,,,-26.24582,28.05877,,parcial,no comprobado,,,798
shaik-s-poultry-farm,Shaik's Poultry Farm,Johannesburg,Carne,,42 Protea Ave,,,+27828978361,,http://www.shaikspoultry.com/,https://www.facebook.com/1569508619969830,,,-26.3210345,27.8436918,,parcial,no comprobado,,,800
smack-republic-microbrewery,Smack Republic Microbrewery,Johannesburg,Cerveza,,"Arts On Main Bldg, 266 Fox St",,,+27844910779,beer@smackrepublic.com,http://www.smackrepublic.com/,https://www.facebook.com/284432625005031,,,-26.2048134,28.0579442,,parcial,no comprobado,,,821
south-african-breweries-bryanston,South African Breweries,Bryanston,Cerveza,,56 Grosvenor Rd,,,+27860121414,careline@za.ab-inbev.com,http://sab.co.za/,https://www.facebook.com/126526004095857,,,-26.0538101,28.0084184,,parcial,no comprobado,,,834
soweto-brewing-company,Soweto Brewing Company,Soweto,Cerveza,,11846 Senokoanyana St,,,+27664843002,brewmaster@sowetogold.co.za,https://www.sowetobrewing.co.za/home,https://www.facebook.com/110690313096096,,,-26.2445572,27.9078355,,parcial,no comprobado,,,843
the-cape-wine-academy,The Cape Wine Academy,Johannesburg,Vino,,24 Kelvin Rd,,,+27110243616,michelle@capewineacademy.co.za,http://www.capewineacademy.co.za,https://www.facebook.com/284904641613902,,,-26.1231729,28.0742236,,parcial,no comprobado,,,900
tolokazi-beer,Tolokazi Beer,Sandton,Cerveza,,40 5th St,,,+27725842449,info@tolokazibeer.co.za,http://www.tolokazibeer.co.za/,https://www.facebook.com/103694314708631,,,-26.105521,28.0831178,,parcial,no comprobado,,,932
yethuwines,yethuwines,Johannesburg,Vino,,11 Broad St,,,+27827416548,jtshwarelo@gmail.com,http://www.yethuwines.com/,https://www.facebook.com/113015991659863,,,-26.2156864,28.0406471,,parcial,no comprobado,,,1021
