nombre,pais,pais_codigo,region,region_codigo,municipio,categoria,productos,direccion,horario,telefono,correo,web,facebook,instagram,google_maps,lat,lon,osm_id,fuente_url,fecha_extraccion,verificacion,venta_online
Landhof Blum,Alemania,DE,Baden-Württemberg,DE-BW,Adelsheim,Huevos,Eier,"Eicholzheimer Weg 7, 74740 Adelsheim",24/7,+4917680128659,blum@landhof-blum.de,https://landhof-blum.de,,,"https://www.google.com/maps?q=49.392398,9.369592",49.392398,9.369592,node/8493789446,https://www.openstreetmap.org/node/8493789446,2026-08-05,parcial,no comprobado
Neuwieshof-Lädle,Alemania,DE,Baden-Württemberg,DE-BW,Aichwald,Pan y cereal,Brot und Getreide,"Neuwiesen 3, 73773 Aichwald","Mo-Th,Sa 17:00-19:00; Fr 16:00-19:00",+497113630290,info@fetzer-neuwieshof.de,https://www.fetzer-neuwieshof.de,,,"https://www.google.com/maps?q=48.764245,9.392839",48.764245,9.392839,node/3248967084,https://www.openstreetmap.org/node/3248967084,2026-08-05,parcial,no comprobado
Burgert's Gemüsewägele,Alemania,DE,Baden-Württemberg,DE-BW,Appenweier,Fruta y verdura,Obst und Gemüse,"Güterstraße 20, 77767 Appenweier",24/7,+4915787213549,info@burgert-bringts.de,https://www.burgert-bringts.de/,,,"https://www.google.com/maps?q=48.554254,7.976647",48.554254,7.976647,node/9461290338,https://www.openstreetmap.org/node/9461290338,2026-08-05,parcial,no comprobado
Sonnenhof Hofladen,Alemania,DE,Baden-Württemberg,DE-BW,Bad Boll,Lácteos y quesos,Käse und Milchprodukte,"Astwiesen 2, 73087 Bad Boll",Mo-Sa 09:00-12:30; Mo-Fr 15:00-18:30,+4971646643,info@sonnenhof-bad-boll.de,http://www.sonnenhof-bad-boll.de,,,"https://www.google.com/maps?q=48.645245,9.599868",48.645245,9.599868,way/208411518,https://www.openstreetmap.org/way/208411518,2026-08-05,parcial,no comprobado
Schwalbenhof,Alemania,DE,Baden-Württemberg,DE-BW,Bad Herrenalb,Miel,Honig,"Uhlandstraße 2/2, 76332 Bad Herrenalb","Th,Fr 15:00-19:00; Sa 09:00-13:00",+4970839250846,info@schwalbenhof-gbr.de,http://www.schwalbenhof-gbr.de,,,"https://www.google.com/maps?q=48.817627,8.480597",48.817627,8.480597,node/7190791914,https://www.openstreetmap.org/node/7190791914,2026-08-05,parcial,no comprobado
Scherer&Zimmer Hofmarkt,Alemania,DE,Baden-Württemberg,DE-BW,Bad Krozingen,Vino,Wein,"Im Bergfeld 6, 79189 Bad Krozingen",Th 16:00-20:00; Apr 01-Jun 20 Mo-Su 08:00-19:30,+497633150189,info@scherer-zimmer.de,https://scherer-zimmer.de,,,"https://www.google.com/maps?q=47.911815,7.689547",47.911815,7.689547,node/8432951463,https://www.openstreetmap.org/node/8432951463,2026-08-05,parcial,no comprobado
Weber,Alemania,DE,Baden-Württemberg,DE-BW,Biberach an der Riß,Huevos,Eier,"Althof 10, 88400 Biberach an der Riß","Mo,Fr 09:00-12:00,14:00-18:00; Tu 09:00-12:00; Th 14:00-18:00; Sa 08:00-12:00",+4973518896,biopaula@web.de,http://www.bioland-hofladen.de,,,"https://www.google.com/maps?q=48.111337,9.825104",48.111337,9.825104,node/3930564189,https://www.openstreetmap.org/node/3930564189,2026-08-05,parcial,no comprobado
Das Fröhliche Alb-Rind,Alemania,DE,Baden-Württemberg,DE-BW,Bingen,Carne,Fleisch und Wurst,"Veringer Straße 30, 72511 Bingen",,+497577620,froehlich@alb-rind.de,https://www.alb-rind.de,,,"https://www.google.com/maps?q=48.149370,9.240502",48.149370,9.240502,node/8051209933,https://www.openstreetmap.org/node/8051209933,2026-08-05,parcial,no comprobado
Hofladen Scheuerle,Alemania,DE,Baden-Württemberg,DE-BW,Brackenheim,Huevos,Eier,"Meimsheimer Gasse 1, 74336 Brackenheim",Fr 08:00-18:00; Sa 08:00-13:00; PH closed,+4971359369904,info@hofladen-scheuerle.de,https://www.hofladen-scheuerle.de/,,,"https://www.google.com/maps?q=49.074335,9.101098",49.074335,9.101098,way/981949157,https://www.openstreetmap.org/way/981949157,2026-08-05,parcial,no comprobado
Direktvermarktung S&T Kohler,Alemania,DE,Baden-Württemberg,DE-BW,Bretten,Destilados y licores,Spirituosen und Liköre,"Obere Mühlstraße 23, 75015 Bretten","Mo,Fr 15:00-18:00, Tu,Fr,Sa 08:00-13:00, Th 15:00-19:00",+49725287413,info@landprodukte-kohler.de,https://www.landprodukte-kohler.de/,,,"https://www.google.com/maps?q=49.075023,8.689149",49.075023,8.689149,node/11190860048,https://www.openstreetmap.org/node/11190860048,2026-08-05,parcial,no comprobado
