slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen,verificacion,Venta online,Canal de venta,categorias adicionales,producer_id,descripcion_locale,visitas guiadas,mensaje a la comunidad,mensaje_comunidad_locale,enlace destacado 1,enlace destacado 2,country,region,area
9five-integrated-nutrient-systems,9five Integrated Nutrient Systems,Stilfontein,Otros,,"Portion 176, Bokfontein",,,+27673766414,info@9five.co.za,http://www.9five.co.za/,https://www.facebook.com/562395493633098,,,-26.8490532,26.78051,,pendiente,no comprobado,,,4,,,,,,,za,north-west,dr-kenneth-kaunda
abrahams-poultry-and-livestock,Abrahams Poultry and Livestock,Klerksdorp,Carne,,8 Uitsig St,,,+27660750129,abrahamspoultryandlivestock@gmail.com,http://www.abrahamsploultryandlivestock.co.za/,https://www.facebook.com/438715762650387,,,-26.8739378,26.5726882,,pendiente,no comprobado,,,10,,,,,,,za,north-west,dr-kenneth-kaunda
big-b-chickens,Big B Chickens,Potchefstroom,Carne,,8 New Market Street,,,+27182948041,,https://www.yep.co.za/biz/store/iyp/3965886_2,,,,-26.713892,27.1001625,,pendiente,no comprobado,,,98,,,,,,,za,north-west,dr-kenneth-kaunda
calebs-farm-cabins,Caleb’s Farm Cabins,Potchefstroom,Otros,,"Plot 123, Wilgeboom",,,+27846453517,maglad45@gmail.com,http://calebsfarmcabins.com/,https://www.facebook.com/109987691986064,,,-26.7150381,27.0909762,,pendiente,no comprobado,,,160,,,,,,,za,north-west,dr-kenneth-kaunda
chocolat-by-katrientje,Chocolat by Katrientje,Potchefstroom,Chocolate,,192A Rivier St,,,+27782446721,karoolsc1980@gmail.com,,https://www.facebook.com/1036521246211426,,,-26.72588,27.10093,,pendiente,no comprobado,,,176,,,,,,,za,north-west,dr-kenneth-kaunda
corkzilla,Corkzilla,Potchefstroom,Vino,,16 Silwer St,,,+27662012924,corkzilla7@gmail.com,https://corkzilla.co.za/,https://www.facebook.com/800358589833147,,,-26.6950062,27.0861912,,pendiente,no comprobado,,,203,,,,,,,za,north-west,dr-kenneth-kaunda
deli-licious,Deli Licious,Ventersdorp,Pan y cereal,pan y productos de cereal,4 Affodil St,,,+27646557780,hello@delilicious.co.za,https://linktr.ee/delilicious.co.za,https://www.facebook.com/105287765543296,,,-26.3053015,26.8261288,,pendiente,no comprobado,,,237,,,,,,,za,north-west,dr-kenneth-kaunda
die-pienk-huis,Die Pienk Huis,Potchefstroom,Pan y cereal,pan y productos de cereal,190 Peter Mokaba Ave,,,+27813441822,diepienkhuis@gmail.com,https://wa.me/27813441822,https://www.facebook.com/247560602038121,,,-26.7235642,27.0925789,,pendiente,no comprobado,,,251,,,,,,,za,north-west,dr-kenneth-kaunda
die-suid-afrikaanse-brouerye-beperk,Die Suid Afrikaanse Brouerye Beperk,Potchefstroom,Cerveza,,269 Beyers Naude St,,,+27118818111,,http://www.sabmiller.co.za,https://www.facebook.com/1576610722649067,,,-26.7358401,27.0890513,,pendiente,no comprobado,,,252,,,,,,,za,north-west,dr-kenneth-kaunda
dome-distillery,Dome Distillery,Potchefstroom,Destilados y licores,destilados,1 Durr St,,,+27722677530,info@domedistillery.co.za,http://www.domedistillery.co.za/,https://www.facebook.com/119859616075061,,,-26.7106979,27.0815783,,pendiente,no comprobado,,,262,,,,,,,za,north-west,dr-kenneth-kaunda
