slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen,verificacion,Venta online,Canal de venta,categorias adicionales,producer_id,descripcion_locale,visitas guiadas,mensaje a la comunidad,mensaje_comunidad_locale,enlace destacado 1,enlace destacado 2
birrificio-artigianale-magifra,Birrificio artigianale Magifra,Vitulazio,Cerveza,birra artigianale,"Località Tutuni, 15, 81041 Vitulazio CE",Birrificio artigianale Magifra is an independent brewery in Vitulazio producing its own craft beer.,,+390823520291,magifragourmeat@gmail.com,https://www.magifrabeer.com/,,,https://www.google.com/maps/search/?api=1&query=41.1640767%2C14.2084361&query_place_id=ChIJd_ohrXP5OhMRpKRAUazuNqo,41.1640767,14.2084361,,verificado,no comprobado,,,598,en,,,,,
mozzarella-bufala-agricola-casearia-lupara-srl-379,Agricola Casearia LUPARA srl,Pastorano,Lácteos y quesos,Mozzarella di Bufala Campana DOP,Torre Lupara 81050 - Pastorano (CE),Caseificio activo inscrito por el consorcio oficial como productor de Mozzarella di Bufala Campana DOP.,,+390823654196,info@casearialupara.com,https://casearialupara.com,,,"https://www.google.com/maps/search/?api=1&query=Agricola%20Casearia%20LUPARA%20srl%2C%20Torre%20Lupara%2081050%20-%20Pastorano%20%28CE%29&query_place_id=ChIJESm6FYz5OhMR5h6Ruy8zbZs",41.1433898,14.1434856,,parcial,no comprobado,,,62,es,,,,,
mozzarella-bufala-agrozootecnica-marchesa-srl-campania-felix-399,AGROZOOTECNICA MARCHESA srl 'Campania Felix',Grazzanise,Lácteos y quesos,Mozzarella di Bufala Campana DOP,"S.P. 333 km. 12,750 – 81046 Grazzanise (CE)",Caseificio activo inscrito por el consorcio oficial como productor de Mozzarella di Bufala Campana DOP.,,+390823991820,info@cfelix.it,https://cfelix.it,,,"https://www.google.com/maps/search/?api=1&query=AGROZOOTECNICA%20MARCHESA%20srl%20%27Campania%20Felix%27%2C%20S.P.%20333%20km.%2012%2C750%20%E2%80%93%2081046%20Grazzanise%20%28CE%29&query_place_id=ChIJ7Q1C_uziOhMRylafjIagNsk",41.0758231,14.0661324,,parcial,no comprobado,,,111,es,,,,,
mozzarella-bufala-allevamento-bufalino-bianchino-gennaro-caseificio-migliore-466,Allevamento Bufalino Bianchino Gennaro - Caseificio 'Migliore',Castel Volturno,Lácteos y quesos,Mozzarella di Bufala Campana DOP,"Via Castelvolturno snc, 81034 Mondragone(CE)",Caseificio activo inscrito por el consorcio oficial como productor de Mozzarella di Bufala Campana DOP.,,+390823973911,lamozzarella@alice.it,https://www.caseificiomigliore.it,,,"https://www.google.com/maps/search/?api=1&query=Allevamento%20Bufalino%20Bianchino%20Gennaro%20-%20Caseificio%20%27Migliore%27%2C%20Via%20Castelvolturno%20snc%2C%2081034%20Mondragone%28CE%29&query_place_id=ChIJ6eieLUHfOhMRpc08qSSqhUk",41.0995627,13.8913492,,parcial,no comprobado,,,138,es,,,,,
mozzarella-bufala-autieri-srl-fattoria-gaia-468,AUTIERI srl 'Fattoria Gaia',Teverola,Lácteos y quesos,Mozzarella di Bufala Campana DOP,S.S. 7 bis - Zona Industriale ASI - 81030 Teverola (CE),Caseificio activo inscrito por el consorcio oficial como productor de Mozzarella di Bufala Campana DOP.,,,,https://www.mozzarelladop.it/mappasoci,,,"https://www.google.com/maps/search/?api=1&query=AUTIERI%20srl%20%27Fattoria%20Gaia%27%2C%20S.S.%207%20bis%20-%20Zona%20Industriale%20ASI%20-%2081030%20Teverola%20%28CE%29&query_place_id=ChIJPUP66BUBOxMRBst8iF996ms",41.0064773,14.2201712,,parcial,no comprobado,,,226,es,,,,,
mozzarella-bufala-az-campo-societa-agricola-fattoria-pagliuca-456,Az. Campo Società Agricola 'FATTORIA PAGLIUCA',Alvignano,Lácteos y quesos,Mozzarella di Bufala Campana DOP,Via san giacomo 6 Alvignano (CE),Caseificio activo inscrito por el consorcio oficial como productor de Mozzarella di Bufala Campana DOP.,,+393481332790,agricola.campo@libero.it,https://fattoriapagliuca.com,,,"https://www.google.com/maps/search/?api=1&query=Az.%20Campo%20Societ%C3%A0%20Agricola%20%27FATTORIA%20PAGLIUCA%27%2C%20Via%20san%20giacomo%206%20Alvignano%20%28CE%29&query_place_id=ChIJL_LKQENZOhMRoe5iaxs9s1Y",41.2373422,14.3647957,,parcial,sí,ecommerce,,251,es,,,,,
mozzarella-bufala-aziende-agricole-associate-s-r-l-terra-felice-384,AZIENDE AGRICOLE ASSOCIATE s.r.l. 'Terra Felice',Cancello ed Arnone,Lácteos y quesos,Mozzarella di Bufala Campana DOP,"S.P. 333 km. 10,500 - 81030 Cancello Arnone (CE)",Caseificio activo inscrito por el consorcio oficial como productor de Mozzarella di Bufala Campana DOP.,,,commerciale@agricoleassociate.it,https://agricoleassociate.it,,,"https://www.google.com/maps/search/?api=1&query=AZIENDE%20AGRICOLE%20ASSOCIATE%20s.r.l.%20%27Terra%20Felice%27%2C%20S.P.%20333%20km.%2010%2C500%20-%2081030%20Cancello%20Arnone%20%28CE%29&query_place_id=ChIJl5KeDhHiOhMRXSpFdlpZe1Q",41.0665779,14.0425144,,parcial,no comprobado,,,503,es,,,,,
mozzarella-bufala-bufala-e-more-481,BUFALA & MORE,Castel Volturno,Lácteos y quesos,Mozzarella di Bufala Campana DOP,S.S. Domitiana km 30 - 81030 Castel Volturno,Caseificio activo inscrito por el consorcio oficial como productor de Mozzarella di Bufala Campana DOP.,,+393356814911,salvatorefumaruolo1976@gmail.com,https://facebook.com/caseificiorionealto/,,,,41.05,13.91667,,parcial,no comprobado,,,711,es,,,,,
mozzarella-bufala-caputo-casearia-srl-391,CAPUTO CASEARIA srl,Teverola,Lácteos y quesos,Mozzarella di Bufala Campana DOP,"Via Roma, 60  -81030 Teverola (CE)",Caseificio activo inscrito por el consorcio oficial como productor de Mozzarella di Bufala Campana DOP.,,,info@caseificiocaputo.it,https://caseificiocaputo.it,,,"",40.9746708,14.1866409,,parcial,sí,ecommerce,,829,es,,,,,
mozzarella-bufala-caseificio-san-salvatore-srl-398,Caseificio  SAN SALVATORE srl,Pietramelara,Lácteos y quesos,Mozzarella di Bufala Campana DOP,Contrada Pantani - 81051 PIETRAMELARA (CE),Caseificio activo inscrito por el consorcio oficial como productor de Mozzarella di Bufala Campana DOP.,,,caseificiosansalvatore@gmail.com,https://bufalabiosansalvatore.com,,,"https://www.google.com/maps/search/?api=1&query=Caseificio%20%20SAN%20SALVATORE%20srl%2C%20Contrada%20Pantani%20-%2081051%20PIETRAMELARA%20%28CE%29&query_place_id=ChIJBVg-sVbxOhMRhlLRkd5mRrM",41.2897491,14.1606998,,parcial,no comprobado,,,1352,es,,,,,
mozzarella-bufala-caseificio-spinosa-spa-397,Caseificio  SPINOSA SpA,Castel Volturno,Lácteos y quesos,Mozzarella di Bufala Campana DOP,Via Tirso n° 23 - 81030 CASTEL VOLTURNO (CE),Caseificio activo inscrito por el consorcio oficial como productor de Mozzarella di Bufala Campana DOP.,,,info@spinosaspa.com,https://spinosaspa.com,,,"https://www.google.com/maps/search/?api=1&query=Caseificio%20%20SPINOSA%20SpA%2C%20Via%20Tirso%20n%C2%B0%2023%20-%2081030%20CASTEL%20VOLTURNO%20%28CE%29&query_place_id=ChIJV6L1lpcfOxMRJQErAi76egw",41.0417459,13.9336253,,parcial,no comprobado,,,1449,es,,,,,
mozzarella-bufala-caseificio-agnena-aziende-agricole-associate-471,Caseificio AGNENA Aziende Agricole Associate,Cancello ed Arnone,Lácteos y quesos,Mozzarella di Bufala Campana DOP,"Via Regia Agnena km 0,5 Cancello Arnone (CE)",Caseificio activo inscrito por el consorcio oficial como productor de Mozzarella di Bufala Campana DOP.,,+390823856267,info@caseificioagnena.it,https://www.caseificioagnena.it/,,,"https://www.google.com/maps/search/?api=1&query=Caseificio%20AGNENA%20Aziende%20Agricole%20Associate%2C%20Via%20Regia%20Agnena%20km%200%2C5%20Cancello%20Arnone%20%28CE%29&query_place_id=ChIJ8zto5prhOhMR9ycAK49Q8P8",41.0962034,14.0063721,,parcial,sí,ecommerce,,926,es,,,,,
mozzarella-bufala-caseificio-antico-casale-srl-412,Caseificio ANTICO CASALE srl,Mondragone,Lácteos y quesos,Mozzarella di Bufala Campana DOP,Via Padule IV° trav.  81034 Mondragone (CE),Caseificio activo inscrito por el consorcio oficial como productor de Mozzarella di Bufala Campana DOP.,,+390823979194,caseificioanticocasale@live.it,https://caseificioanticocasale.it,,,"https://www.google.com/maps/search/?api=1&query=Caseificio%20ANTICO%20CASALE%20srl%2C%20Via%20Padule%20IV%C2%B0%20trav.%20%2081034%20Mondragone%20%28CE%29&query_place_id=ChIJuQZBclLeOhMRyDzBnCffpxc",41.1189346,13.8844891,,parcial,no comprobado,,,938,es,,,,,
mozzarella-bufala-caseificio-auriemma-srl-410,Caseificio AURIEMMA SRL,Capua,Lácteos y quesos,Mozzarella di Bufala Campana DOP,ViaParisi  -  81043 Capua (CE),Caseificio activo inscrito por el consorcio oficial como productor de Mozzarella di Bufala Campana DOP.,,,caseificioauriemma@virgilio.it,https://auriemmasrl.com,,,"https://www.google.com/maps/search/?api=1&query=Caseificio%20AURIEMMA%20SRL%2C%20ViaParisi%20%20-%20%2081043%20Capua%20%28CE%29&query_place_id=ChIJ3S6cqtD-OhMRPLxPaG53k7c",41.1044718,14.2283976,,parcial,no comprobado,,,956,es,,,,,
mozzarella-bufala-caseificio-cirigliana-srl-380,Caseificio CIRIGLIANA srl,Riardo,Lácteos y quesos,Mozzarella di Bufala Campana DOP,Via Saudina - 81053 Riardo (CE),Caseificio activo inscrito por el consorcio oficial como productor de Mozzarella di Bufala Campana DOP.,,,info@cirigliana.com,https://cirigliana.com,,,"https://www.google.com/maps/search/?api=1&query=Caseificio%20CIRIGLIANA%20srl%2C%20Via%20Saudina%20-%2081053%20Riardo%20%28CE%29&query_place_id=ChIJD57IYXTxOhMRbOrCGSIQKzU",41.276139,14.1416173,,parcial,no comprobado,,,1021,es,,,,,
mozzarella-bufala-caseificio-colonne-srl-436,Caseificio COLONNE srl,Castel Volturno,Lácteos y quesos,Mozzarella di Bufala Campana DOP,Via Domitiana km.33.700-Castelvolturno (CE),Caseificio activo inscrito por el consorcio oficial como productor de Mozzarella di Bufala Campana DOP.,,,info@caseificiocolonne.it,https://caseificiocolonne.it,,,"https://www.google.com/maps/search/?api=1&query=Caseificio%20COLONNE%20srl%2C%20Via%20Domitiana%20km.33.700-Castelvolturno%20%28CE%29&query_place_id=ChIJSdahPTUZOxMRninIPb39-RA",40.9934106,13.9726281,,parcial,sí,ecommerce,,1026,es,,,,,
mozzarella-bufala-caseificio-corvino-srl-442,Caseificio CORVINO srl,Cancello ed Arnone,Lácteos y quesos,Mozzarella di Bufala Campana DOP,"Via S.Maria a Cubito, 21 - 81030 Cancello Arnone (CE)",Caseificio activo inscrito por el consorcio oficial como productor de Mozzarella di Bufala Campana DOP.,,,info@caseificiocorvino.com,https://caseificiocorvino.com,,,"https://www.google.com/maps/search/?api=1&query=Caseificio%20CORVINO%20srl%2C%20Via%20S.Maria%20a%20Cubito%2C%2021%20-%2081030%20Cancello%20Arnone%20%28CE%29&query_place_id=ChIJO8oRAuAcOxMRwNpMvcZ76jQ",41.0639747,14.0367538,,parcial,no comprobado,,,1041,es,,,,,
mozzarella-bufala-caseificio-giusti-srl-449,Caseificio GIUSTI srl,Alife,Lácteos y quesos,Mozzarella di Bufala Campana DOP,Via S.Prov. 331 km 1+990 Alife (CE),Caseificio activo inscrito por el consorcio oficial como productor de Mozzarella di Bufala Campana DOP.,,,gustigiusti@libero.it,https://caseificiogiusti.it,,,"https://www.google.com/maps/search/?api=1&query=Caseificio%20GIUSTI%20srl%2C%20Via%20S.Prov.%20331%20km%201%2B990%20Alife%20%28CE%29&query_place_id=ChIJzy5Akp9gOhMRowSlzyrBtnE",41.334742,14.3529073,,parcial,no comprobado,,,1156,es,,,,,
mozzarella-bufala-caseificio-il-casolare-s-n-c-414,Caseificio IL CASOLARE  s.n.c.,Alvignano,Lácteos y quesos,Mozzarella di Bufala Campana DOP,"Via Olivella, 12 – 81012 Alvignano (CE)",Caseificio activo inscrito por el consorcio oficial como productor de Mozzarella di Bufala Campana DOP.,,,ilcasolaresnc@gmail.com,https://caseificioilcasolare.it,,,"https://www.google.com/maps/search/?api=1&query=Caseificio%20IL%20CASOLARE%20%20s.n.c.%2C%20Via%20Olivella%2C%2012%20%E2%80%93%2081012%20Alvignano%20%28CE%29&query_place_id=ChIJBR-_UmVZOhMRIgZZoGt9l4A",41.223721,14.3655372,,parcial,no comprobado,,,1172,es,,,,,
mozzarella-bufala-caseificio-la-baronia-s-r-l-393,Caseificio LA BARONIA s.r.l.,Castel di Sasso,Lácteos y quesos,Mozzarella di Bufala Campana DOP,S.S. 264 - Loc. Truli - 81040 Castel di Sasso (CE),Caseificio activo inscrito por el consorcio oficial como productor de Mozzarella di Bufala Campana DOP.,,,labaronia@labaronia.com,https://labaronia.com,,,"",41.1194454,14.1986689,,parcial,sí,ecommerce,,1180,es,,,,,
mozzarella-bufala-caseificio-la-perla-del-sud-srl-423,Caseificio LA PERLA DEL SUD srl,Mondragone,Lácteos y quesos,Mozzarella di Bufala Campana DOP,"Via Domitiana km. 19,00 – 81034 Mondragone (CE)",Caseificio activo inscrito por el consorcio oficial como productor de Mozzarella di Bufala Campana DOP.,,+390823973231,info@caseificiolaperladelsud.it,https://caseificiolaperladelsud.it,,,"https://www.google.com/maps/search/?api=1&query=Caseificio%20LA%20PERLA%20DEL%20SUD%20srl%2C%20Via%20Domitiana%20km.%2019%2C00%20%E2%80%93%2081034%20Mondragone%20%28CE%29&query_place_id=ChIJTbVK3LffOhMRZMiwkl3nahM",41.1068508,13.8863042,,parcial,no comprobado,,,1202,es,,,,,
